text,highlighted
"Cookie policywe use cookies or trackers to facilitate your browsing on the site and to compile statistics with the aim of improving your experience on tipeee.technical cookies are not configurable, but other cookies require your consent to be deposited.customize refuse allaccept all",0
How it works,0
Discover creators,0
Become a creator,0
Statistics,0
Search,0
Log in sign up,0
How it works,0
Discover creators,0
Become a creator,0
Statistics,0
Search,0
Tipeee's terms &amp.,0
Conditions derni re mise jour : 05/01/2020 pr ambule tous les termes et expressions d butant par une majuscule figurant ci-apr s sont d finis l article 1 des pr sentes conditions g n rales d utilisation.,0
"Les pr sentes conditions g n rales d utilisation, annexe incluse, (ci-apr s d nomm es cgu ) r gissent l ensemble des relations entre les utilisateurs du site tipeee.com et la soci t tipeee, soci t par actions simplifi e, au capital de 183 230 euros, inscrite au rcs de paris sous le num ro 529 108 334, dont le num ro de tva intracommunautaire est fr39529108334, dont le si ge social est situ au 20, rue du sentier -75002 paris france, dont l adresse e-mail est .",0
"Service.utilisateurs@tipeee.com, dont le num ro de t l phone est le 01 40 13 16 15, en cours d immatriculation sur le registre orias.",0
Le site a pour objectif de fournir un service permettant aux cr ateurs de contenus de cr er une relation privil gi e avec les internautes et de b n ficier de la part de ces derniers d'un soutien notamment financier la r alisation de leurs contenus.,0
Les visiteurs du site sont r put s accepter les cgu simplement par leur utilisation du site.,0
"Les membres sont r put s accepter les cgu la date d ouverture de leur compte de membre, tant pr cis que l'e-mail de bienvenue qu ils re oivent titre de confirmation de l'ouverture de ce compte inclut un lien permettant de t l charger les cgu.",0
"Les tipeurs sont r put s accepter les cgu en vigueur la date de leur tip, tant pr cis que l'e-mail de r capitulatif de commande qu ils re oivent titre de confirmation de leur tip inclut un lien permettant de t l charger les cgu en vigueur.",0
"Les cr ateurs de contenus sont r put s accepter les cgu en vigueur la date de r ception par leurs soins de l'e-mail envoy par tipeee leur confirmant que leur page tipeee va pouvoir commencer sa campagne de financement participatif sur le site, tant pr cis que cet e-mail de validation inclut un lien permettant de t l charger les cgu en vigueur.",0
"Il est par ailleurs express ment convenu que l acceptation des pr sentes cgu par l utilisateur inclut l acceptation par ce dernier des conditions g n rales d utilisation appliqu es par les prestataires de service assurant le bon fonctionnement des diff rents syst mes de paiement (ci-apr s d sign es ensemble les cgu de paiement ) propos s par le site, soit actuellement :",0
- pour le(s) syst me(s) de paiement propos s par adyen : les conditions g n rales d utilisation sont disponibles au lien suivant : https://www.adyen.com/legal/terms-and-conditions-adyen-for-platforms,0
"- pour le(s) syst me(s) de paiement propos s par paypal : les conditions g n rales d utilisation de paypal, lesquelles sont accessibles sur le site www.paypal.com",0
"- pour le(s) syst me(s) de paiement propos s par paysafecard : les conditions g n rales d utilisation de paysafecard, lesquelles sont accessibles sur le site www.paysafecard.com .",0
L utilisateur est par ailleurs inform que tipeee pourra modifier tout moment les pr sentes cgu.,1
"Lorsque les cgu seront ainsi modifi es, tous les membres recevront un e-mail d information incluant un lien permettant de t l charger ces nouvelles cgu.",1
Le membre ne pourra se connecter ensuite son compte de membre qu' la condition expresse qu'il accepte les nouvelles cgu en vigueur.,1
"Il est toutefois express ment pr cis que dans tous les cas, l acceptation des cgu par le membre, si ce membre est un tipeur ou un cr ateur de contenus pouvant tre consid r comme un consommateur au sens du code de la consommation, se fait sous r serve du droit de r traction dont il b n ficie en vertu des dispositions du code de la consommation.",0
Les informations relatives au droit de r tractation figurent l article 12 des pr sentes cgu.,0
"L utilisateur est galement express ment inform que tipeee n est en aucun cas responsable des pages tipeee, y compris en ce qui concerne la livraison ou non des contreparties.",0
"De m me, tipeee n est en aucun cas responsable des contenus, lesquels sont pr sent s et r alis s la seule initiative et sous la seule responsabilit des cr ateurs de contenus.",0
"A travers l utilisation du service, les utilisateurs sont amen s diffuser sur le site diff rents contenus et notamment des vid os, des images, des cr ations graphiques, de la musique, des textes, des id es et concepts, des logiciels, etc., ainsi que des marques ou brevets et l ments divers de propri t intellectuelle.",0
"Les utilisateurs sont avertis que l utilisation du site ne prot ge en rien ces contenus et qu il leur appartient, le cas ch ant, de prot ger ces contenus par ailleurs.",0
Les utilisateurs ne peuvent contribuer financi rement des contenus que s ils sont possesseurs de leur propre carte bancaire tablie leur nom.,0
Les utilisateurs ne peuvent proposer le financement de contenus sur le site que s ils sont g s au minimum de 16 ans.,0
Les pr sentes cgu constituent l int gralit des documents contractuels opposables entre tipeee et les utilisateurs.,0
"Par exception, pour le cas o le financement d un contenu n cessiterait la mise en place de modalit s sp cifiques, la soci t tipeee et les cr ateurs de contenus concern s pourront convenir par crit et au cas par cas de l application de conditions particuli res.",0
Les tipeurs concern s par ces conditions particuli res sont r put s accepter celles-ci la date de leur tip .,0
"Dans cette hypoth se, lesdites conditions particuli res seront envoy es aux tipeurs en m me temps que les cgu en vigueur galement sous la forme d un lien de t l chargement inclus dans l e-mail de r capitulatif de commande qu ils re oivent titre de confirmation de leur tip.",0
1.,0
"Definitions - par cgu , il convient d entendre les conditions g n rales d utilisation du service.",0
"- par commission , il convient d entendre la commission d un montant standard de 8% ttc soit 6,66% ht pr lev e aupr s du cr ateur de contenus par tipeee en contrepartie du service rendu.",0
"- par compte de membre , il convient d entendre le compte ouvert par un visiteur sur le site.",0
"- par contenu , il convient d entendre toute cr ation (vid o, article de blog, planche de bd, photo, etc.)",0
D un cr ateur de contenus dont la r alisation pourra tre financi rement soutenue par les tips des autres utilisateurs.,0
"- par contrepartie , il convient d entendre, s il y a lieu, la ou les contrepartie(s) ventuellement propos e(s) par le cr ateur de contenus aux tipeurs, en change de leurs tips.",0
"La ou les contrepartie(s) li e(s) aux contenus seront d finies au cas par cas sur le site, l enti re discr tion des cr ateurs de contenus.",0
"- par cr ateur de contenus , il convient d entendre un membre qui pr sente ses contenus sur une ou plusieurs pages tipeee.",0
"- par frais de transaction , il convient d entendre les frais en euros ttc acquitt s par le tipeur et s'ajoutant au montant de son tip au moment o celui-ci est pr lev .",0
"Ils repr sentent la somme du co t du prestataire de paiement en ligne, du co t du transfert d'argent et des frais de fonctionnement de tipeee (gestion des commandes, suivi des transactions, interface entre le prestataire, les banques et les tipeurs, maintenance du site internet, ).",0
"Ils sont calcul s de la fa on suivante en fonction du montant global de tips en fin de mois, ce montant tant ci-apr s d sign mgdt ) :",0
"* en cas de paiement par carte bancaire ou par d autres moyens de paiement disponibles sur le site et sp cifiques certains territoires (tels que, par exemple et sans que cette liste soit exhaustive, elv, sofort et giropay pour le territoire de l allemagne) :",0
"0,17 + 0,0045 x mgdt",0
* en cas de paiement par l interm diaire du service paypal :,0
"(i) 0,27 + 0,01 x mgdt si le mgdt est gal ou inf rieur 4 .",0
"(ii) 0,1 + 0,053 x mgdt si le mgdt est sup rieur 4 .",0
* en cas de paiement par l interm diaire du service paysafecard : aucun frais de transaction ne sera appliqu au tipeur.,0
"- par membre , il convient d entendre une personne physique ou morale inscrite sur le site et disposant d'un compte de membre.",0
Le membre peut devenir tipeur et/ou cr ateur de contenus.,0
"- par page tipeee , il convient d entendre la (les) page(s) du site cr e(s) par le cr ateur de contenus et d di e(s) ses contenus.",0
"- par publication d un contenu , il convient d entendre l activation par le cr ateur de contenus de la fonction int gr e sur sa page tipeee lui permettant, lorsqu il vient de mettre en ligne un nouveau contenu, d enclencher le processus de collecte des tips contenus correspondants.",0
"- par service , il convient d entendre le service propos par tipeee ayant pour objet de permettre :",0
* l'interm diation entre les cr ateurs de contenus et les tipeurs via le site .,0
* la collecte des tips par l'interm diation du site afin de permettre aux cr ateurs de contenus d obtenir un soutien financier la r alisation de leurs contenus .,0
* toute prestation compl mentaire en lien avec les services d crits ci-dessus.,0
