text,highlighted
Home,0
My books,0
Browse,0
Recommendations,0
Choice awards,0
Genres,0
Giveaways,0
New releases,0
Lists,0
Explore,0
News &amp.,0
Interviews,0
Genres,0
Art,0
Biography,0
Business,0
Children's,0
Christian,0
Classics,0
Comics,0
Cookbooks,0
Ebooks,0
Fantasy,0
Fiction,0
Graphic novels,0
Historical fiction,0
History,0
Horror,0
Memoir,0
Music,0
Mystery,0
Nonfiction,0
Poetry,0
Psychology,0
Romance,0
Science,0
Science fiction,0
Self help,0
Sports,0
Thriller,0
Travel,0
Young adult,0
More genres,0
Community,0
Groups,0
Discussions,0
Quotes,0
Ask the author,0
Sign in,0
Join,0
Sign up,0
View profile,0
Profile,0
Friends,0
Groups,0
Discussions,0
Comments,0
Reading challenge,0
Kindle notes &amp.,0
Highlights,0
Quotes,0
Favorite genres,0
Friends recommendations,0
Account settings,0
Help,0
Sign out,0
Home,0
My books,0
Browse,0
Recommendations,0
Choice awards,0
Genres,0
Giveaways,0
New releases,0
Lists,0
Explore,0
News &amp.,0
Interviews,0
Genres,0
Art,0
Biography,0
Business,0
Children's,0
Christian,0
Classics,0
Comics,0
Cookbooks,0
Ebooks,0
Fantasy,0
Fiction,0
Graphic novels,0
Historical fiction,0
History,0
Horror,0
Memoir,0
Music,0
Mystery,0
Nonfiction,0
Poetry,0
Psychology,0
Romance,0
Science,0
Science fiction,0
Self help,0
Sports,0
Thriller,0
Travel,0
Young adult,0
More genres,0
Community,0
Groups,0
Discussions,0
Quotes,0
Ask the author,0
Terms of use,1
"This agreement was last revised on dec 6, 2017.",1
Recent updates to this agreement.,0
"Welcome to goodreads.com, the website and online service of goodreads llc",0
"(together with its affiliates, ""goodreads"" ""we,"" or ""us"").",0
This page explains,0
The terms by which you may use our service.,0
By accessing or using the goodreads,0
"Services, website and software provided through or in connection with the",0
"Service (""service""), you signify that you have read, understood, and agree to",0
"Be bound by this terms of use agreement, the goodreads privacy policy, the",0
"Amazon.com conditions of use,",0
"And the other applicable rules, policies and terms posted on the goodreads.com",0
"Website or provided with the service (collectively, this ""agreement""), whether",0
Or not you are a registered user of our service.,0
We reserve the right to amend this agreement at any time in our sole discretion,1
By posting the revised agreement on the goodreads.com website.,1
Your continued,1
Use of the service after any such changes constitutes your acceptance of the,1
Revised agreement.,1
"This agreement applies to all visitors, users, and others",0
"Who access the service (""users"").",0
1.,0
Use of our service,0
"Goodreads provides a place for you to discover, track, and talk about books with",0
Friends and our community.,0
You do not have to register in order to visit goodreads.,1
To access certain,0
"Features of the service, though, including creating ""bookshelves"" to organize",0
"What you've read, posting book reviews, and commenting on other members'",0
"Reviews, you will need to register with goodreads and create a ""member"" account.",0
Your account gives you access to the services and functionality that we may,0
Establish and maintain from time to time and in our sole discretion.,0
You may never use another member s account without permission.,0
You are,1
Responsible for maintaining the confidentiality of your account and password,1
"And for restricting access to your account, and you agree to accept responsibility",1
For all activities that occur under your account or password.,1
You agree to,1
Notify goodreads immediately of any breach of security or unauthorized use of,1
Your account.,1
You may change the settings on your my account page to control your profile and,0
How other members communicate with you.,0
By providing goodreads your email,0
Address you consent to our using the email address in accordance with our,0
Privacy policy.,0
Subject to your compliance with this agreement and your payment of any applicable,1
"Fees, we grant you a limited, non-exclusive, non-transferable, non-sublicensable",1
License to access and make personal and non-commercial use of the service.,1
This,0
"License does not include any resale or commercial use of any part of the service,",0
Or its contents.,0
"Any collection and use of any book listings, descriptions,",0
Reviews or other material included in the service.,0
Any derivative use of any,0
Part of the service or its contents.,0
"Any downloading, copying, or other use of",0
Account information for the benefit of any third party.,0
"Or any use of data mining,",0
"Robots, or similar data gathering and extraction tools.",0
All rights not expressly,0
"Granted to you in this agreement are reserved and retained by us or our licensors,",0
"Suppliers, publishers, rightsholders, or other content providers.",0
No part of,0
"The service may be reproduced, duplicated, copied, sold, resold, visited, or",0
Otherwise exploited for any commercial purpose without our express written,0
Consent.,0
You may not frame or utilize framing techniques to enclose any,0
"Trademark, logo, or other proprietary information (including images, text, page",0
"Layout, or form) of goodreads without our express written consent.",0
You may not,0
"Use any meta tags or any other ""hidden text"" utilizing our name or trademarks",0
Without our express written consent.,0
You may not misuse the service.,0
You may,1
Use the service only as permitted by law.,1
The licenses granted by us terminate,0
If you do not comply with this agreement.,0
"In order to protect our members from unsolicited advertising or solicitation,",0
Goodreads reserves the right to restrict the number of communications that a,0
Member may send to other members in any 24-hour period to a number that goodreads,0
Deems appropriate in its sole discretion.,0
"Goodreads may permanently or temporarily terminate, suspend, or otherwise refuse",1
"To permit your access to the service without notice and liability for any reason,",1
Including if in goodreads' sole determination you violate any provision of,1
"This agreement, or for no reason.",1
"Upon termination for any reason or no reason,",0
You continue to be bound by this agreement.,0
The service is subject to scheduled and unscheduled service interruptions.,0
All,0
Aspects of the service are subject to change or elimination at goodreads s sole,0
Discretion.,0
You agree that goodreads will not be liable to you for any,0
"Interruption of the service, delay or failure to perform.",0
You are solely responsible for your interactions with other goodreads users.,0
"We reserve the right, but have no obligation, to monitor disputes between you",1
And other users.,1
Goodreads shall have no liability for your interactions with,1
"Other users, or for any user s action or inaction.",1
2.,0
User content,0
