Output Text File:

Highlight,Summary
"By using the service, you consent to our collection and use of personal data as outlined therein.","Using this service means you agree to let the company collect and use your personal data as described in their policy."
"Gfycat reserves the right to modify or discontinue, temporarily or permanently, the service (or any part thereof) with or without notice.","The company can change or stop their service at any time, with or without telling you."
"You acknowledge that Gfycat may establish general practices and limits concerning use of the service.","You understand the company can set rules and limits on how to use the service."
"Without limiting the foregoing, Gfycat and its designees will have the right to remove any content that violates these terms of service.","The company can delete anything you post if it breaks the rules."
"Gfycat will not be liable for any loss or damage arising from your failure to comply with this section.","The company isn't responsible if you get hurt because you didn't follow the rules."
"Gfycat reserves the right to investigate and take appropriate legal action against anyone who, in Gfycat's sole discretion, violates this provision.","The company can take legal action against you if you break the rules, as they see fit."
"By uploading any user content you hereby grant and will grant Gfycat [...] a nonexclusive, worldwide, royalty free, fully paid up, transferable, sublicensable, perpetual, irrevocable license to use your user content.","By posting content, you allow the company to use it forever, for free, and let others use it too."
"Except as expressly authorized by Gfycat in writing, you agree not to modify, copy, frame, scrape, rent, lease, loan, sell, distribute or create derivative works based on the service.","Unless the company says it's okay, you can't change, copy, or make money from their service."
"Future changes to arbitration agreement notwithstanding any provision in this terms of service to the contrary, Gfycat agrees that if it makes any future change to this arbitration agreement [...] you may reject any such change by sending Gfycat written notice.","If the company changes how disputes are settled, you can say no to the changes by writing to them."
"You agree that any termination of your access to the service under any provision of this terms of service may be effected without prior notice.","The company can shut down your access to the service without warning."
"The arbitration agreement provides that you and Gfycat are each waiving the right to a trial by jury.","You give up your right to go to court with a jury against the company."
"For all other users, we will post the revised terms on the site.","The company will let everyone know if they change the rules by updating their website."
"You agree to (a) immediately notify Gfycat of any unauthorized use of your password or account and (b) ensure that you exit from your account at the end of each session.","You must tell the company if someone gets into your account and always log out after using the service."
"The services are not intended for children under the age of 13.","If you're younger than 13, you can't use this service."
"Gfycat reserves the right, but has no obligation, to become involved in any way with disputes between you and any other user of the service.","The company doesn't have to, but they can get involved if you have a problem with another user."
"Commercial use: unless otherwise expressly authorized herein or in the service, you agree not to exploit the service for any commercial purposes.","You can't make money from the service unless the company says you can."
"If you initiate an arbitration in which you seek more than $75,000 in relief, the payment of attorneys' fees will be governed by the AAA rules.","If you ask for more than $75,000 in a legal dispute, lawyers' fees will be decided by certain rules."
"By using the mobile services, you agree that we may communicate with you regarding Gfycat and other entities by SMS, MMS, text message or other electronic means to your mobile device.","If you use the service on your phone, the company can send you messages."
"The service may provide notice to you of changes to these terms of service or other matters by displaying notice on the service.","The company will tell you about changes to the rules or other important stuff by putting a message on the service."
"Gfycat terms of service last modified: May 12, 2020.","The last time the rules were updated was on May 12, 2020."
"Gfycat makes no warranty that [...] the service will be uninterrupted, timely, secure, or error-free.","The company doesn't promise that the service won't have problems or mistakes."
"You agree not to use or launch any automated system, including 'robots,' 'spiders,' or 'offline readers,' that access the service.","You can't use automatic programs like ‘robots’ to use the service."
"You agree not to collect or harvest any personally identifiable information from the service.","You can't gather personal info from other people using the service."
"Gfycat enables features merely as a convenience and the integration of such features does not imply an endorsement.","Just because the service works with other features, doesn't mean the company approves of them."
"You agree to indemnify and hold Gfycat harmless from any and all claims or demands made by any third party due to or arising out of your breach of these terms of service.","If you break the rules and someone else makes a claim, you have to protect the company from any damage."
"Gfycat expressly disclaims all warranties of any kind, whether express, implied or statutory, including, but not limited to the implied warranties of merchantability, fitness for a particular purpose.","The company doesn't make any promises about the service being fit for a certain use."
"You expressly understand and agree that Gfycat shall not be liable for any direct, indirect, incidental, special, consequential or exemplary damages.","The company isn't responsible if you get hurt because of the service."
"The service is provided 'as is' and 'as available,' without warranty of any kind.","The company isn't making any promises about how well the service works."
"By registering, you agree to provide true, accurate, current, and complete information about yourself.","When signing up, you promise to give real and updated information about yourself."
"You agree that your Gfycat account is non-transferable and any rights to your ID or contents within your account terminate upon your death.","You can't give your Gfycat account to someone else, and if you die, the account can't be used anymore."
"Prices and fees for the service, as applicable, can be found on Gfycat's website and may be changed at any time.","The cost of the service can change, and you can find the prices on the company's website."
"You acknowledge that Gfycat may terminate accounts that are inactive for an extended period of time.","If you don't use your account for a long time, the company can shut it down."
"You agree that the terms of service will be governed by and construed in accordance with the laws of the State of California.","The rules are under California law."
