text,highlighted
Terms of service,0
"Last updated: july 9, 2020.",0
Definitions,0
"""23andme"" or",0
"""we"",""us"" or ""our"" means",0
"23andme, inc., whose principal place of business is at 223 n.",0
"Mathilda ave., sunnyvale, ca 94086, united states of america.",0
"""23andme research""",0
Means scientific research that 23andme performs with the intent to publish,0
In a peer-reviewed scientific journal.,0
23andwe research only uses genetic and,0
Self-reported information from users who have given consent according to the,0
Applicable consent document.,0
23andwe research activities do not include r&ampd.,0
"""r&ampd"" means research",0
And development activities performed by 23andme on user data.,0
These activities,0
"May include, among other things, improving our services and/or offering new",0
Products or services to you.,0
Performing quality control activities.,0
Conducting,0
Data analysis that may lead to and/or include commercialization with a third party.,0
"""service"" or",0
"""services"" means 23andme's products, software, services,",0
"And website (including but not limited to text, graphics, images, and other",0
"Material and information) as accessed from time to time by the user, regardless",0
If the use is in connection with an account or not.,0
"""personal information""",0
"Is information that can be used to identify you, either alone or in combination",0
With other information.,0
23andme collects and stores the following types of,0
Personal information:,0
"""registration",0
"Information"" is the information you provide about",0
Yourself when registering for and/or purchasing our services (e.g.,0
"Name, email, address, user id and password, and payment information).",0
"""genetic",0
"Information"" is information regarding your genotype",0
(e.g.,0
"The as, ts, cs, and gs at particular locations in your genome),",0
Generated through the processing of your saliva by 23andme or by its,0
"Contractors, successors, and assignees.",0
Or otherwise processed by,0
And/or contributed to 23andme.,0
"""self-reported",0
"Information"" is all information about yourself,",0
"Including your disease conditions, other health-related information,",0
"Personal traits, ethnicity, family history, and other information that",0
"You enter into surveys, forms, or features while signed in to your",0
23andme account.,0
Self-reported information is included in 23andwe,0
Research only if it has been indicated for 23andwe research use on,0
The website and if you have given consent as described in the applicable,0
Consent document.,0
"""user content""",0
"Is all information, data, text, software, music, audio, photographs,",0
"Graphics, video, messages, or other materials other than genetic",0
Information and self-reported information generated by users of 23andme,0
"Services and transmitted, whether publicly or privately, to or",0
Through 23andme.,0
"""web behavior",0
"Information"" is information on how you use the 23andme",0
Website (e.g.,0
"Browser type, domains, page views) collected through log",0
"Files, cookies, and web beacon technology.",0
"""aggregated genetic and self-reported information"" is",0
Genetic and self-reported information that has been stripped of registration,0
Information and combined with data from a number of other users sufficient to,0
Minimize the possibility of exposing individual-level information while still,0
Providing scientific evidence.,0
"""website"" means www.23andme.com/en-eu and",0
Www.23andme.co.uk.,0
Information about us,0
The service is operated by 23andme.,0
We are incorporated in delaware and our,0
Principal place of business is at 223 n.,0
"Mathilda ave., sunnyvale, ca 94086,",0
United states of america.,0
Acceptance of terms,0
You agree to use 23andme's services (excluding any services provided by,0
23andme under a separate agreement) in accordance with these terms of service,0
"(""tos"").",0
"These tos apply to users based in the united kingdom,",0
"Ireland, denmark, finland, the netherlands, and sweden.",0
23andme also may offer,0
Other services from time to time that are governed by different terms of service.,0
"Except as specified herein, these tos apply to any use of the services,",0
Including but not limited to:,0
Submitting a saliva sample for dna extraction and processing.,0
Uploading a digital version of your genetic information and,0
Interacting with it on the website.,0
And/or,0
Creating and using a free 23andme account without providing your,0
Saliva sample or genetic information.,0
"By using the service, you agree to these tos.",0
You may not use the services,0
If you do not accept these tos.,0
"Where this option is made available to you by 23andme for any service, you",0
Can also accept the tos by clicking accept or agree to the tos.,0
"When using particular elements of 23andme's services, you may be subject to",0
Additional guidelines or rules applicable to such services and such guidelines,0
Or rules will be made available to you through such service from time to time.,0
These guidelines or rules form part of the tos.,0
Eligibility,0
You may not use the services and may not accept the tos if:,0
You are not of legal age to form a binding contract with 23andme.,0
Or,1
You are a person barred from receiving the services under the laws of,0
The country in which you are resident or from which you use the services.,0
"You may not use the services if you are, unless authorised by 23andme,",0
"Using the services for a business or commercial purpose, or any purpose",0
Other than personal use.,0
"In addition to the conditions above,",0
If you contribute or otherwise provide,1
"Your own genetic information, you must be eighteen (18) years of age or older",1
To agree to these tos on behalf of yourself or those for whom you have legal authority to agree.,1
"If your use of the services includes creating a 23andme account, without",1
"Submitting a saliva sample or otherwise providing genetic information, you",1
Must be thirteen (13) years of age or older to use the services and accept,1
The tos.,1
Ordering the service,0
You can place orders for the service with 23andme by following the process,0
Outlined on our website.,0
You acknowledge that by placing an order with us you,0
Will be under an obligation to pay for the service in that order.,0
The 23andme order process allows you to check and amend any errors before,0
Submitting your order to us.,0
Please take the time to read and check your,0
Order at each stage of the order process.,0
All orders are subject to acceptance by 23andme.,0
We will send you an email,0
To confirm acceptance.,0
The contract between you and us will only be made when,0
We send you this email to confirm acceptance.,0
23andme will charge your chosen,0
Payment method after we accept your order.,0
"If you change your mind about your order, you can cancel your order in",0
Accordance with our uk refunds policy or our eu refunds policy.,0
You must keep the contact details we hold for you up-to-date so that we can,0
Contact you if necessary about your order.,0
Payment,0
The price of the service will be as quoted on our website.,0
"The price of the service may change from time to time, but changes will not",0
Affect any order 23andme have accepted.,0
"The price of the service excludes delivery costs, which will be added to the",0
Total amount due.,0
We offer standard and express delivery and you can see the,0
Relevant delivery charges for the sample collection kit on the shipping page,0
Of our order process.,0
23andme accept payment with the payment methods listed on our website.,0
You,0
Must pay for the service and any applicable delivery charges in advance.,0
"By submitting an order through our website, you are confirming that the payment details provided on your order are valid and correct.",0
Tracking your order,0
Your 23andme profile homepage displays the ongoing status of your order from,0
To the time you register your 23andme personal genome service kit until you,0
Receive your results.,0
See https://www.23andme.com/you.,0
You can find out more information here about our typical timeframes for,0
Providing the service and tracking your order:,0
Uk tracking,0
Eu tracking,0
Please note that we only deliver sample collection kits to addresses in the,0
United kingdom and ireland.,0
Your estimated delivery date for your sample collection kits will be as set,0
Out in the email confirmation following your order.,0
Although we will make every reasonable effort to ensure your sample kit and,0
"The results are delivered within the estimated timescales, unfortunately we",0
Cannot guarantee that they will not be affected by unforeseen issues affecting,0
The services or our delivery partner.,0
"For example, the laboratory may not be",0
Able to process your sample if your saliva does not contain a sufficient,0
Volume of dna.,0
Your order will be completed when we make your results available to you.,0
If you have trouble finding out the status of your order or tracking its,0
"Progress, please review our uk customer care area or our eu customer care area.",0
Cancellation and refunds,0
You have a legal right to cancel the contract between you and 23andme within,0
14 days after the date on which you receive the order confirmation email (,0
When 23andme accepts your order).,0
You can find more information about how,0
To cancel an order in our uk refunds policy or eu refunds policy.,0
"In addition, you may have additional rights to a refund as set out in our uk refunds policy or",0
Eu refunds policy.,0
