text,highlighted
Xda-developers terms of service1.,0
Terms,0
"This website and related services are owned and operated by kc online media, llc.",0
"By accessing the website at http://xda-developers.com or the xda mobile applications (the services ), you are agreeing to be bound by these terms of service, all applicable laws and regulations, and agree that you are responsible for compliance with any applicable local laws.",0
"If you do not agree with any of these terms, you are prohibited from using or accessing the services.",0
The materials contained within the services are protected by applicable copyright and trademark law.,0
2.,0
Use license,1
"Permission is granted to temporarily download one copy of the materials (information or software) available from the services for personal, non-commercial transitory viewing only.",1
"This is the grant of a license, not a transfer of title, and under this license you may not:",0
Modify or copy the materials.,0
"Use the materials for any commercial purpose, or for any public display (commercial or non-commercial).",0
Attempt to decompile or reverse engineer any software contained used to provide the services.,0
Remove any copyright or other proprietary notations from the materials.,0
Or transfer the materials to another person or mirror the materials on any other server.,0
"This license shall automatically terminate if you violate any of these restrictions and may be terminated by kc online media, llc at any time.",0
"Upon terminating your viewing of these materials or upon the termination of this license, you must destroy any downloaded materials in your possession whether in electronic or printed format.",0
3.,0
Disclaimer,0
The materials on the services are provided on an as is basis.,1
"Kc online media, llc makes no warranties, expressed or implied, and hereby disclaims and negates all other warranties including, without limitation, implied warranties or conditions of merchantability, fitness for a particular purpose, or non-infringement of intellectual property or other violation of rights.",1
"Further, kc online media, llc does not warrant or make any representations concerning the accuracy, likely results, or reliability of the use of the materials on the services or otherwise relating to such materials or on any sites linked to from the services.",1
4.,0
Limitations,0
"In no event shall kc online media, llc or its suppliers be liable for any damages (including, without limitation, damages for loss of data or profit, or due to business interruption) arising out of the use or inability to use the materials on the services, even if kc online media, llc or a kc online media, llc authorized representative has been notified orally or in writing of the possibility of such damage.",1
"Because some jurisdictions do not allow limitations on implied warranties, or limitations of liability for consequential or incidental damages, these limitations may not apply to you.",0
5.,0
Accuracy of materials,0
"The materials appearing on the services could include technical, typographical, or photographic errors.",1
"Kc online media, llc does not warrant that any of the materials on its website are accurate, complete or current.",1
"Kc online media, llc may make changes to the materials contained on its website at any time without notice.",0
"However kc online media, llc does not make any commitment to update the materials.",0
6.,0
Links,0
"Kc online media, llc has not reviewed all of the sites linked to from the services and is not responsible for the contents of any such linked site.",0
"The inclusion of any link does not imply endorsement by kc online media, llc of the site.",0
Use of any such linked website is at the user s own risk.,0
7.,0
Sponsored content policy,0
Xda sometimes publishes content in coordination with sponsors.,0
"Despite this and because of this, we maintain a strict policy in which the opinions of our editorial and video teams are not for sale.",0
"When an article or video is published under the byline of any individual editor, writer, or contributor, it represents the opinion of that writer (or of the editorial staff as a whole) only and is not influenced by any sponsor.",0
In certain cases we may post content about the products or services of companies that are sponsoring xda.,0
When relevant we will provide full disclosure of this fact within the content.,0
"An article that is written by our sponsorship team on behalf of a sponsor will be published under the byline of team xda, a word from our sponsors, or xda commerce team.",0
These articles will also contain relevant disclosure of the sponsorship.,0
Sponsored social media posts will contain the #ad or #sponsored designations.,0
"For sponsored videos, relevant disclosure will be in the video s description.",0
8.,0
External links,0
Xda frequently links to products from external commerce vendors.,0
Some of these vendors offer affiliate programs and will compensate us if a user purchases an item after clicking a link from xda.,0
"Xda (via kc online media, llc) participates in numerous such affiliate advertising programs, including the amazon associates program, and will use software to automatically convert links to ones that can be tracked for affiliate purposes.",0
These commissions help compensate our writers and other staff.,0
Our goal is to post links only to interesting and useful products and deals.,0
9.,0
Modifications,0
"Kc online media, llc may revise these terms of service for its website at any time without notice.",1
By using this website you are agreeing to be bound by the then current version of these terms of service.,1
10.,0
Copyright policy,0
We have adopted and implemented a copyright policy in accordance with the digital millennium act.,0
"In our sole discretion, we may disable and/or terminate the accounts of users who repeatedly infringe or are repeatedly charged with infringing the copyrights or other intellectual property rights of others.",1
11.,0
Privacy policy,0
"We have a privacy policy covering the collection, use, and disclosure of user information, which can be found at https://www.xda-developers.com/xda-developers-privacy-policy/.",0
12.,0
Content,0
"We do not control, are not responsible for and make no representations or warranties with respect to any user content.",0
"You are solely responsible for your access to, use of and/or reliance on any user content.",0
"You must conduct any necessary, appropriate, prudent or judicious investigation, inquiry, research and due diligence with respect to any user content.",0
"You are also responsible for any content that you post or transmit and, if you create an account, you are responsible for all content posted or transmitted through or by use of your account.",1
Content prohibited from our sites and services includes but is not limited to: (1) illegal content.,1
"(2) content in facilitation of the creation, advertising, distribution, provision or receipt of illegal goods or services.",0
"(3) offensive content (including, without limitation, court ordered defamatory statements, threatening, hateful or pornographic content).",1
"(4) content that discloses another s personal, confidential or proprietary information.",1
"(5) false or fraudulent content (including but not limited to false, fraudulent or misleading responses to user ads transmitted via our sites and services).",0
"(6) malicious content (including, without limitation, malware or spyware).",1
"(7) content that offers, promotes, advertises, or provides links to posting or auto-posting products or services, account creation or auto-creation products or services, flagging or auto-flagging products or services, bulk telephone numbers, or any other product or service that if utilized with respect to our sites and services would violate these tou or our other legal rights.",1
"And (8) content that offers, promotes, advertises or provides links to unsolicited products or services.",1
"You automatically grant and assign to us, and you represent and warrant that you have the right to grant and assign to us, a perpetual,",1
"Irrevocable, unlimited, fully paid,",0
"Fully sub-licensable (through multiple tiers), worldwide license",1
"To copy, perform, display, distribute, prepare derivative works from (including, without limitation, incorporating into other works) and otherwise use any content that you post.",0
13.,0
Governing law,0
These terms and conditions are governed by and construed in accordance with the laws of pennsylvania and you irrevocably submit to the exclusive jurisdiction of the courts in that state or location.,1
