text,highlighted
Home,0
Create a post,0
Login,0
Recipe realm,0
Unleash your culinary creativity.,0
Recipe realm terms of service,0
Last updated: 29/6/23,1
Effective date: 29/6/23,1
Definitions,0
"""we"", ""us"", ""recipe realm"", ""the service"" reffers to recipe realm, the website accessable via https://recipe-realm.com",0
"""you"", ""the visitor"" reffers to you, the person accessing the service.",0
"""service providers"", ""providers"" reffers to third parties that provides services to us such as hosting and cdns.",0
2) user accounts,0
1) acceptance of terms,0
"By accessing or using the website, you represent that you are at least 13 years old and have the legal capacity to enter into a binding agreement.",1
"If you are under 13 years old, you must discontinue your usage of the website.",1
2.1 account creation,0
You may create a user account on recipe realm to access certain features of the website.,0
"When creating an account, you agree to provide accurate and complete information.",0
You are solely responsible for maintaining the confidentiality of your account credentials and are liable for any activity that occurs under your account.,0
You agree to notify us immediately of any unauthorized use of your account.,0
2.2 account removal,0
"If you do not want to use the service anymore, discontinue usage of your account.",1
We remove accounts with no logins in the past 6 months.,1
3) user-generated content,0
3.1 license to use,0
"By submitting posts, comments, or any other content (""user-generated content"") on recipe realm, you grant us a non-exclusive, royalty-free, transferable, sublicensable, worldwide license to use, reproduce, modify, adapt, publish, translate, distribute, perform, and display the user-generated content in connection with the operation of the website and our related services.",0
"This license exists for as long as the user-generated content remains on the website and will terminate if you remove the content or delete your account, subject to section 2.2.",0
3.2 content guidelines,0
"You agree that you will not submit any user-generated content that is unlawful, harmful, threatening, abusive, harassing, defamatory, obscene, vulgar, invasive of another's privacy, hateful, or otherwise objectionable.",1
You also agree not to submit content that infringes upon any intellectual property rights or violates any applicable laws.,0
3.3 content removal,0
"While we strive to ensure the accuracy, integrity, and quality of user-generated content on recipe realm, we reserve the right, but not the obligation, to remove or edit any content that violates these terms or is otherwise objectionable, without prior notice.",0
4) intellectual property,0
4.1 ownership,0
"All intellectual property rights in the website and its content, excluding user-generated content, are owned by recipe realm or its licensors.",0
"You agree not to use, modify, distribute, or reproduce any copyrighted materials, trademarks, or other proprietary information belonging to tastehub without obtaining prior written consent.",0
5) privacy,0
5.1 privacy policy,0
We are committed to protecting your privacy.,0
"Our collection, use, and disclosure of personal information are governed by our privacy policy, which forms an integral part of these terms.",0
6) termination,0
6.1 suspension or termination,0
"We reserve the right to suspend or terminate your access to the website, in whole or in part, at any time and for any reason, without prior notice or liability.",0
7) disclaimer of warranties,0
7.1 website availability,0
"The website and its content are provided on an ""as-is"" and ""as available"" basis.",0
"We do not warrant that the website will be error-free, uninterrupted, secure, or free from viruses or other harmful components.",0
Your use of the website is at your sole risk.,1
8) limitation of liability,0
8.1 exclusion of damages,0
"To the maximum extent permitted by applicable law, recipe realm and its officers, directors, employees, agents, and affiliates shall not be liable for any direct, indirect, incidental, special, consequential, or exemplary damages, including but not limited to damages for loss of profits, goodwill, use, data, or other intangible losses, resulting from your use of the website or any content accessed through it.",0
9) modifications to the terms,0
9.1 updates to terms,0
We reserve the right to modify or update these terms at any time without prior notice.,0
The updated terms will be effective immediately upon posting on the website.,0
Your continued use of the website after any modifications to the terms constitutes your acceptance of the revised terms.,0
10) governing law and jurisdiction,0
10.1 applicable law,0
"These terms and any disputes arising out of or relating to these terms or the website shall be governed by and construed in accordance with the laws of the united kingdom, without regard to its conflicts of law principles.",1
"If you have any questions or concerns regarding these terms, please contact us here",0
"By using recipe realm, you acknowledge that you have read, understood, and agree to be bound by these terms of service.",1
Privacy policy,0
Terms of service,0
Contact us,0
