text,highlighted
Toggle navigation,0
Blog,0
Engineering,0
About,0
Community,0
Legal,0
Status,0
Wiki,0
For full functionality of this site it is necessary to enable javascript.,0
Here are the instructions how to enable javascript in your web browser.,0
Legal terms of service,0
Disclaimer,0
All information and files both in source and compiled form are provided on an as is basis.,1
No guarantees or warranties are given or implied.,0
"The user assumes all risks of any damages that may occur, including but not limited to loss of data, damages to hardware, or loss of business profits.",0
Please use at your own risk.,0
"Note that unless explicitly allowed by the warranty covering your device, it should be assumed that any warranty accompanying your device will be voided if you tamper with either the system software or the hardware.",0
Terms of use,0
"Certain images, logos, pictures, and other works originating with organizations other than lineageos may be or are the trademarks and/or servicemarks of those other organizations and are subject to the laws of their registered countries.",0
Lineageos usage constitutes a fair use of any such copyrighted material as provided for in section 107 of the us copyright law.,0
"If you wish to use copyrighted material from this site for purposes of your own that go beyond fair use , you must obtain permission from the copyright owner.",0
Requests for removal of copyright material may be sent to legal@lineageos.org.,0
Privacy policy,0
Your privacy is important to lineageos.,0
"Our privacy policy explains how we collect, use, disclose, transfer, and store your information.",0
Please take a moment to familiarize yourself with our privacy practices.,0
Lineageos provides an after-market operating system and applications for various mobile devices.,0
Information we have,1
Certain information (e.g.,1
"A device unique anonymized id, device model, etc.)",1
Is transmitted to us solely for the purpose of measuring non-personally identifiable installation metrics.,1
"Unless otherwise stated below, this information is not used for any other purpose.",1
Information we store from the device,0
The unique anonymous id of the device (this id changes upon device factory reset),0
The device model,0
The version(s) of our software installed on the device,0
The country from which the device registered,0
The wireless carrier(s) to which the device is actively registered,0
Information we store from the contributions to our code review platform (gerrit),0
Email addresses for registration and to facilitate review,0
Signed contributor license agreements (cla),0
"Ip addresses, ssh activity, and api access may be logged for rate limiting or to prevent abuse",0
Information we store for cursory services,0
Email addresses for registration to wiki and bug tracking software,0
Ip addresses may be logged for rate limiting or to prevent abuse,0
Additional information you may provide us,0
Bug reports submitted to assist in providing support may contain personally identifiable information (pii).,0
"While we will do our best to prevent the collection of this information from processes within our control, your usage and submission of this data may contain pii and you should take steps to sanitize and validate this data prior to submission.",0
Opt-out,0
You may opt-out of lineageos device statistics via the privacy menu in settings on the device.,0
Web,0
"As is true of most websites, we gather some information automatically and store it in log files.",0
This information includes internet protocol (ip) addresses,1
", browser type (and version) and language, internet service provider (isp),",0
Referring and exit pages,1
", operating system, date/time stamp, and clickstream data.",0
We may collect information regarding user activities on our website and from our other products and services.,0
"This information is aggregated and used to help us provide more useful information to our users to understand which parts of our website, products, and services are of most interest, and for general system diagnostics.",0
Aggregated data is considered non-personal information for the purposes of this privacy policy.,0
We do not knowingly collect personal information from children under 13 except where a parent has set up an account for their child and provided lineageos with verified parental consent.,0
If we learn that we have collected the personal information of a child under 13 without first receiving verifiable parental consent we will take steps to delete the information as soon as possible.,0
Information we may share,0
"We do not share your information with companies, organizations, or individuals outside of lineageos unless one of the following circumstances applies:",1
With your consent (submission of bug reports to our bug tracking platform is considered consent.,1
),1
When legally required.,1
"When using our code review platform (gerrit), you agree that:",0
"During account creation, we collect your name, username, and email from a third party.",0
This data is immediately made public.,0
"Your name and email address will become embedded and part of the code, which will be publicly available.",0
"You understand that the removal of this information would be impermissibly destructive to the project and the interests of all who contribute, utilize, and benefit from it.",0
"You waive any right to request erasure, removal, or rectification of this information under any applicable privacy or other law and understand that providing this information is required to contribute to the project.",0
"We will share the information we have with entities outside of lineageos if we have a good faith belief that access, use, preservation, or disclosure of the information is necessary to:",1
"Meet any applicable law, regulation, legal process or enforceable governmental request.",1
"Enforce applicable terms of service, including investigation of potential violations.",0
"Detect, prevent, or otherwise address fraud, security, or technical issues.",0
"Protect against harm to the rights, property, or safety of lineageos, our users, or the public as required or permitted by law.",0
"We will update this privacy policy as needed so that it is current, accurate, and as clear as possible.",0
2016 - 2022 the lineageos project,0
Need to get in contact?,0
Check out r/lineageos!,0
Need a press kit?,0
Get our public brand guide,0
Paypal: paypal.me/lineageos,0
Patreon: patreon.com/lineageos,0
"Note: lineageos llc is not a 501(c)(3) non-profit, as such donations are not tax-exempt.",0
