text,highlighted
Terms &amp.,0
Conditions smartmessages terms of use statement,0
"Through smartmessages (the service ), synchromedia limited (the service provider ) offers online utilities and resources that enable service users to collect electronic mail addresses and other information ( data ) from individuals and corporations ( subscribers ).",0
"The service enables users to process data for the purpose of composing, sending, and managing electronic mail transmissions and marketing communications ( campaigns ).",0
"By ticking the box on the service registration page next to i have read the smartmessages terms of use statement, and i accept these terms and conditions , you (the user ) agree the following terms and conditions.",0
"The service is provided subject to this agreement, and any guidelines, rules, or operating policies that the service provider may establish from time to time (the agreement ).",0
"By posting notifications on the service log-in page, or by otherwise providing notice to users, the service provider may modify the terms of the agreement, and may discontinue or revise any aspect of the service at its sole discretion.",0
All such changes shall become effective upon the posting of such notifications.,0
"By logging-on to the service, the user accepts the agreement and the service that is current at the time of logging-on.",0
The service is only available to persons who can form legally binding contracts under applicable law.,0
"Without limiting the foregoing, the service is not available to individuals under the age of 18 years.",1
Users must complete the registration form for the service in order to use the service.,0
"Users agree to provide true, accurate, current, and complete information about themselves and their business as requested on the registration form.",0
"As part of the registration process, users will nominate an e-mail address and password for their service account.",0
"Users are responsible for maintaining the validity of their email address, the security of their passwords, the integrity of their account, and all service uses performed in their name.",0
"The user agrees that the service may send them diagnostic, status or informational email messages relating to their use of the service.",0
"The service provider reserves the right to refuse or cancel the registration of accounts which, at its sole discretion, are deemed inappropriate.",0
Compliance standards (data management),0
Data is hosted and processed on servers in the united kingdom and within the jurisdiction of the information commissioner s office (the data regulator ).,0
"Users agree to manage data and use the service in accordance with the data protection act 1998, and the european directive on privacy and electronic communications regulations 2003 (collectively, the data regulations ).",0
"The information commissioner has also signed a memorandum of understanding with the united states federal trade commission, the australian competition and consumer commission, the australian communications authority, and the office of fair trading in the uk.",0
"These parties have agreed to cooperate and exchange information about unsolicited electronic mail ( spam ) originating from their jurisdiction, or initiated by users in their jurisdiction.",0
"The data regulations, as well as guidance about their application and good practice can be found on the website (www.ico.gov.uk) of the information commissioner s office.",0
"The service provider, at its sole discretion, retains the right to terminate service accounts that are deemed or alleged to have violated the data regulations.",0
Compliance standards (content management),0
"Campaigns are transmitted to subscribers through servers in the united kingdom, where marketing campaigns are regulated by the advertising standards authority, and in the usa under the can-spam act of 2003.",0
"Users agree to use the service and to manage content in all its forms, including text, images, audio, and video (the content ) in accordance with the standards recommended by the british code of advertising, sales promotion and direct marketing (the content code ).",0
"The content code for non-broadcast advertising, as well as guidance about its application and good practice can be found on the website (www.asa.org.uk/asa/codes) of the advertising standards authority.",0
"The service provider, at its sole discretion, retains the right to terminate service accounts that are deemed or alleged to have violated the content code.",0
Service use,0
"Users shall adopt and maintain the service privacy policy, which may be modified by the service provider from time to time.",0
"Notwithstanding that subscribers are offered web utilities to manage their preferences and data privacy, subscribers may choose to communicate directly with users through any means available.",0
Users agree to process unsubscribe requests and correct subscriber data within 7 days of receiving such requests.,0
"Users may manage up to the number of subscribers on their service account, unless this maximum is increased by written agreement with an authorized representative of the service provider.",0
"Users may send an unlimited number of emails providing all such activity is in compliance with this agreement, is for lawful purposes, and respects the rights of each subscriber.",1
"The service provider will not disclose the personal information of users, or that of their subscribers to third parties, except as may be required by law.",0
The service provider will only use the subscriber lists and data held on users accounts for the purpose of providing the service.,0
"Neither the service provider, nor its affiliates will send unsolicited electronic mail to subscriber lists held on user service accounts.",0
"The service provider may use information provided by users, and gathered in the course of their using the service, to facilitate and to enhance their use of the service, and to communicate with them (for example to inform them of system changes, maintenance downtime etc).",0
The service provider makes no guarantee that electronic mail will be rendered properly on all recipients terminal devices.,0
"The service provider makes every attempt to make sure that electronic mail sent through the service is compatible with prevailing technical standards, but cannot guarantee that messages will appear and operate consistently across all subscriber platforms.",0
"Some platforms may incorporate incompatible proprietary standards, may not have been upgraded to support the prevailing standards, or may use filters to block the transmission of the actual mail content or types of mail content.",0
Service system requirements,0
"It is understood that to use the service, users require a windows, mac, or unix/linux based pc or sufficiently advanced mobile device, running a recent version of a javascript-enabled web browser such as microsoft internet explorer, mozilla firefox, apple safari, google chrome, accept session cookies from the smartmessages.net domain, and which has access to the web through a stable internet connection.",0
"The service may work in a limited manner on other operating platforms, and with other web browsers, but there is no guarantee of full functionality.",0
Service termination,0
"Users may terminate this agreement at any time by sending an e-mail message to accounts@smartmessages.net or by sending written notice to synchromedia limited, sussex innovation centre, science park square, falmer, east sussex bn1 9sb, uk.",1
No refunds will be issued if you terminate this agreement,0
"The service provider may terminate this agreement or the service at any time with or without cause, and with or without notice.",1
The service provider shall have no liability to you or any third party because of such termination.,0
"If the service provider terminates this agreement because of a violation of the agreement, no refund will be issued.",0
"In the event of service account termination, the service provider may delete the service account data 30 days after the date of termination.",0
"All sections of this agreement that by their nature should survive termination will survive termination, including, without limitation, ownership, warranty disclaimers and limitations of liability.",1
"Users that do not log into their account for more than 120 days, or fail to make agreed service payments, may find their service account has been de-activated and is inaccessible.",0
