text,highlighted
Terms of service,0
Acceptance of the terms of service,0
"The following terms and conditions ( terms ) apply to your use of the websites of epic games, inc.",0
"And its affiliates ( epic , we us or our ), including any content, functionality, products, and services offered on or through such websites (collectively, the website ), whether as a guest or a registered user.",0
These terms also apply to your use of other epic services that display or include these terms ( additional services ).,0
"In these terms, the website and additional services are collectively referred to as the services",0
Please read these terms carefully before you start to use the services.,0
"By using the services, you accept and agree to be bound and abide by these terms of service.",0
"If you do not want to agree to these terms of service, you must not use the services.",0
"In particular, we want to highlight some important terms, policies, and procedures in these terms.",0
By accepting these terms:,0
You are also agreeing to other epic rules and policies that are expressly incorporated into and a part of these terms.,0
Please read them carefully:,0
Our privacy policy explains what information we collect from you and how we protect it.,0
Our fan content policy explains what you can do with epic s intellectual property in the content you create.,0
You and epic agree to resolve disputes between us in individual arbitration (not in court).,0
We believe the alternative dispute-resolution process of arbitration will resolve any dispute fairly and more quickly and efficiently than formal court litigation.,0
"We explain the process in detail below, but we ve put this up front (and in caps) because it s important:",0
"These terms contains a binding, individual arbitration and class-action waiver provision.",0
"If you accept these terms, you and epic agree to resolve disputes in binding, individual arbitration and give up the right to go to court individually or as part of a class action, and epic agrees to pay your arbitration costs for all disputes of up to $10,000 that are made in good faith (see below).",0
"To enter into the contract created by these terms, you must be an adult of the legal age of majority in your country of residence.",0
"You are legally and financially responsible for all actions using or accessing our software, including the actions of anyone you allow to access to your account.",0
"You affirm that you have reached the legal age of majority, understand and accept these terms (including its dispute resolution terms).",0
"If you are under the legal age of majority, your parent or legal guardian must consent to these terms.",0
"In addition to these terms, software or services that are included in or otherwise made available to you through the services may be subject to separate agreement between you and epic, such as end user license agreements.",0
"If these terms are inconsistent with any such agreements, those agreements will control.",0
Privacy notice,0
"Please review our privacy notice found at https://www.epicgames.com/privacypolicy, which also governs your use of the services, to understand our practices.",0
Changes to the terms of service,0
We may update these terms from time to time.,1
You should check this page regularly to take notice of any changes.,1
Your continued use of the services following the posting of revised terms means that you accept and agree to the changes.,1
Accessing the services and account security,0
"We may withdraw or amend the services, and any related service or content, or restrict access (including by means of cancellation, termination, or modification, or suspension of a user account) to all or certain users (including you) without notice and without liability to you in our reasonable discretion.",1
"Additionally, due to your geographic location, the services or some of their features, services, or content may be unavailable to you",0
"Notwithstanding anything to the contrary herein, we may terminate or suspend access to the services based on your breach of these terms.",0
"To access certain services, you will be asked to provide registration details or other information, and in order to use such resources, all the information you provide must be correct, current, and complete.",0
"From time to time, in order to access the services or certain games, services, or functionality, epic may require some or all users to download updated or additional software.",0
The terms of use of such software may be subject to separate agreement between you and epic.,0
