text,highlighted
Terms of service,0
"Last updated: january 25, 2021",0
The gist,0
We (the folks at automattic) are on a mission to make the web a better place.,0
We hope you love our products and services from website publishing tools to ecommerce solutions to security backup systems to management tools for distributed companies to the next great idea that we haven t even thought of yet as much as we love creating them.,0
"These terms of service ( terms ) describe our commitments to you, and your rights and responsibilities when using our services.",0
Please read them carefully and reach out to us if you have any questions.,0
These terms include a mandatory arbitration provision in section 16.,0
"If you don t agree to these terms, don t use our services.",0
"We ve made these terms available under a creative commons sharealike license, which means that you re more than welcome to copy them, adapt them, and repurpose them for your own use.",0
Just make sure to revise them so that your terms of service reflect your actual practices.,0
"Also, if you do use these terms, we d appreciate a credit and link to automattic somewhere on your website.",0
You can grab a copy of these terms and other legal documents on github.,0
Terms of service,0
"These terms govern your access to and use of the products and services we provide through or for wordpress.com, woocommerce.com, woocommerce shipping &amp.",0
"Tax, jetpack.com, vaultpress.com, happy.tools, jetpack crm, and mailpoet (collectively, services ).",0
"These terms also govern visitors access to and use of any websites that use our services, like the websites that our users create on wordpress.com.",0
Please note though that the operators of those websites may also have their own separate terms of use.,0
"For some of automattic s other products, services, and programs, such as akismet, crowdsignal, newspack, wordpress.com vip, our affiliate program, and our refer-a-friend program, additional or separate terms may apply.",0
Please read these terms carefully before accessing or using our services.,0
"By accessing or using any part of our services, you agree to be bound by all of the terms and all other operating rules, policies, and procedures that we may publish via the services from time to time (collectively, the agreement ).",0
"You also agree that we may automatically change, update, or add on to our services, and this agreement will apply to any changes.",0
1.,0
Who s who,0
You means any individual or entity using our services.,0
"If you use our services on behalf of another person or entity, you represent and warrant that you re authorized to accept the agreement on that person s or entity s behalf, that by using using our services you re accepting the agreement on behalf of that person or entity, and that if you, or that person or entity, violates the agreement, you and that person or entity agree to be responsible to us.",0
"Please see below to determine which entity your agreement is with, which depends on where you reside and which services you use.",0
"We use the term designated countries to refer to australia, canada, japan, mexico, new zealand, russia, and all countries located in europe (including the uk and roi).",0
All automattic services (except woocommerce),0
If you reside outside of the designated countries: automattic inc.,0
If you reside in the designated countries: aut o mattic a8c ireland ltd.,0
Woocommerce services,0
"Woocommerce services includes woocommerce, woocommerce payments, woocommerce shipping, mailpoet, and any products or services purchased from woocommerce.com.",0
"If you reside outside of the designated countries: woocommerce, inc.",0
If you reside in the designated countries: woocommerce ireland ltd.,0
"We refer to automattic inc., aut o mattic a8c ireland ltd., woocommerce, inc., and woocommerce ireland ltd.",0
Collectively as automattic or we throughout these terms.,0
2.,0
Your account,0
"When using our services requires an account, you agree to provide us with complete and accurate information and to keep the information current so that we can communicate with you about your account.",0
"We may need to send you emails about notable updates (like changes to our terms of service or privacy policy), or to let you know about legal inquiries or complaints we receive about the ways you use our services so you can make informed choices in response.",0
"We may limit your access to our services until we re able to verify your account information, like your email address.",0
"When you create a wordpress.com account, we consider that to be an inquiry about our products and services, which means that we may also contact you to share more details about what we have to offer (i.e., marketing).",1
"Don t worry if you aren t interested, you can opt out of the marketing communications, whether it s an email, phone call, or text message.",1
You re solely responsible and liable for all activity under your account.,0
You re also fully responsible for maintaining the security of your account (which includes keeping your password secure).,0
"We re not liable for any acts or omissions by you, including any damages of any kind incurred as a result of your acts or omissions.",0
"If you get fired because of a blog post you write about your boss, that s on you.",0
Don t share or misuse your access credentials.,0
"And notify us immediately of any unauthorized uses of your account, store, or website, or of any other breach of security.",0
"If we believe your account has been compromised, we may suspend or disable it.",0
"If you d like to learn about how we handle the data you provide us, please see our privacy policy.",0
3.,0
Minimum age requirements,0
Our services are not directed to children.,1
You re not allowed to access or use our services if you re under the age of 13 (or 16 in europe).,1
"If you register as a user or otherwise use our services, you represent that you re at least 13 (or 16 in europe).",1
You may use our services only if you can legally form a binding contract with us.,1
"In other words, if you re under 18 years of age (or the legal age of majority where you live), you can only use our services under the supervision of a parent or legal guardian who agrees to the agreement.",1
4.,0
Responsibility of visitors and users,0
"We haven t reviewed, and can t review, all of the content (like text, photo, video, audio, code, computer software, items for sale, and other materials) posted to or made available through our services by users or anyone else ( content ) or on websites that link to, or are linked from, our services.",0
We re not responsible for any use or effects of content or third-party websites.,0
"So, for example:",0
We don t have any control over third-party websites.,0
A link to or from one of our services does not represent or imply that we endorse any third-party website.,0
"We don t endorse any content or represent that content is accurate, useful, or not harmful.",1
"Content could be offensive, indecent, or objectionable.",0
"Include technical inaccuracies, typographical mistakes, or other errors.",0
"Or violate or infringe the privacy, publicity rights, intellectual property rights, or other proprietary rights of third parties.",0
"You re fully responsible for the content available on your website, and any harm resulting from that content.",0
It s your responsibility to ensure that your website s content abides by applicable laws and by the agreement.,0
"We aren t responsible for any harm resulting from anyone s access, use, purchase, or downloading of content, or for any harm resulting from third-party websites.",0
"You re responsible for taking the necessary precautions to protect yourself and your computer systems from viruses, worms, trojan horses, and other harmful or destructive content.",0
"Any content that s for sale through any of our services is the seller s sole responsibility, so you must look solely to the seller for any damages that result from your purchase or use of content.",0
