text,highlighted
"We use cookies to avoid showing you duplicate content, and improve our site content learn moregot it!",0
"Products element messaging apps for ios, android, web &amp.",0
Desktop.,0
"Element matrix services your data, under your control, hassle-free.",0
Element app store let your conversations speak to as many tools as you do.,0
View all matrix services why element?,0
What makes element different?,0
"Personal element for everyone communities by a community, for communities business universal secure collaboration public sector secure collaboration for public bodies safer spaces for software communities.",0
Learn more dinum is nombre un!,0
Viva la revoluci n.,0
D'accord.,0
"Learn more plans free forever standard pro view all resources resources open source element is committed to open source case studies how we've helped companies grow help find the answers about more context about why element came to be contact get in touch view all resources blog get element products element messaging apps for ios, android, web &amp.",0
"Desktop element matrix services your data, under your control, hassle free element app store let your conversations speak to as many tools as you do why element?",0
What makes element different?,0
"Personal element for everyone communities by a community, for communities business universal secure collaboration public sector secure collaboration for public bodies plans free forever standard pro resources open source element is committed to open source help find the answers about why element came to be contact us get in touch get element terms of service these element matrix services customer terms and conditions ('customer terms') govern your use and access of our services.",0
Authorised users are bound by the users terms and conditions ('users terms').,0
Please read this document carefully before accessing or using this service! 1.,0
Introduction 1.1 definition of terms,0
"When you read the 'customer' or the 'homeserver owner' below it refers to the individual, or the organisation represented by the individual, agreeing to these customer terms during the set-up of a homeserver via the element matrix services interface.if you, as an individual, sign up with a personal email address, you are the customer",0
"If you, as an individual, sign up with a corporate email domain, the customer will be the organisation behind the email domain, and the customer can modify and re-assign roles on the homeserver, including your role, while still being bound by these customer terms",0
"If the customer decides to replace you as the representative with ultimate authority for the homeserver, we will provide you with notice following such decision and you agree to take any actions reasonably requested by us or the customer to facilitate the transfer of authority to a new representative of the customer.",0
Please make sure you have the authority to represents an organisation when signing-up with a corporate email domain and agreeing to these customer terms on behalf of the organisation,0
The customer can invite users or open free registration to their homeservers.,0
"People who have been invited, or have registered freely, to use a homeserver controlled by the customer are 'authorised users' of that homeserver.when you read 'element matrix services', 'ems' or 'the hosting service' it refers to the service exposed at element matrix services or the purchase, configuration and management of matrix homeservers hosted and run by new vector ltd (trading as element)",0
"When you read 'the homeserver' or 'the communication service', it refers to an instance of a matrix homeserver provisioned by the customer via ems.",0
"This instance makes available communication services which might include messaging features in public and private chat room, voice and video calls and interactions with third-party applications.",0
"The homeserver stores the users' account and personal conversation history and may provide services such as bots and bridges, and may communicate via the open matrix decentralised communication protocol with the public matrix network, if you, as the homerserver owner, choose to.the 'services' refers to both the hosting and communication services",0
"Where you read 'element' or 'we' or 'us' below, it refers to element, a trading name of new vector ltd.",0
And its french subsidiary: new vector sarl and their agents,0
This agreement does not apply to matrix servers run by anyone else - matrix is an open network like the web and this agreement only applies to the server provisioned by the customer and provided by element,0
"If this agreement is not acceptable, please use a matrix homeserver provided by someone else! 1.2 using the service means accepting these terms",0
By using the hosting service and provisioning a homeserver the customer agrees to and is bound by the terms and conditions written in this document.,0
"By accessing or using the communication service in any way, whether the customer has created a matrix account on the homeserver, or whether they are accessing content federated from the homeserver to another matrix homeserver, or are just browsing rooms as an unauthenticated guest, the customer agrees to and is bound by the users terms.",0
"If the customer does not agree to all of the terms and conditions contained in this document, they should use a matrix server provided by someone else and refrain from provisioning this server",0
1.3 between the customer and the authorised users,0
"These customer terms gives the customer the right to provision, configure and invite others to use the homeserver.",0
"They may enable or disable federation to the rest of the matrix network, close rooms, turn off the access to the service, change the accessibility rules (from invite only to open registration or vice versa, or forbid the read-only mode) etc...",0
You agree that it is solely the customer's responsibility to inform the authorised users of any relevant policies and practices they would like to enforce on their service which come in addition to the default ones we enforce below.,0
"If there is any contradiction between the customer's policies and element ones, the ones enforced by element will prevail (e.g.",0
"A customer cannot override the fact that illegal activities are forbidden on the servers, but can enforce the obligation for new users to introduce themselves in a lobby room)",0
1.4 this is a living document,0
This is a living document.,0
"With your help, we want to continuously improve it.",0
"If you read something that rubs you the wrong way, or if you think of something that should be added, please get in touch!",0
We're all ears!,0
Email support@element.io and we'll chat.,0
"We don't amend this document for any specific customers, users or use case, but if your proposed changes apply more broadly, we'll be happy to update it for everyone",0
If we make a material change to this document we will provide you with reasonable notice prior to the change coming into effect.,1
