text,highlighted
Terms of service,0
Translated terms of service shall only serve as an informal source of information.,1
Please read the english version for the official version applicable to the site.,0
English version of the terms of service,0
Last edited: 2020-06-24,1
This page explains our terms of use.,0
"When you use listudy, you re agreeing to all the rules on this page.",0
Some of them need to be expressed in specific legal language but we ve done our best to offer you clear and simple explanations of what everything means.,1
"By using this website (the site ) and services (together with the site, the services ) offered by listudy.org (together with our subsidiaries, affiliates, representatives, and directors collectively listudy , we , or us ) you re agreeing to these legally binding rules (the terms ).",0
"You re also agreeing to our privacy policy and cookie policy, and agreeing to follow any other rules on the site.",0
We may change these terms from time to time.,0
"If we do, we ll let you know about any significant or material changes, by notifying you on the site.",0
New versions of the terms will never apply retroactively we ll tell you the exact date they go into effect.,0
"If you continue using listudy after a change, that means you accept the new terms",0
Creating an account,0
"To sign up for a listudy account, you need to be 16 or over.",1
You re responsible for your account and all the activity on it.,0
You can browse listudy and use some of our services without registering an account.,0
"But to use all of listudy functions, you ll need to register.",0
"This is done by choosing a username, setting a password, and securing it with an email address.",0
"If you don t submit accurate information, you might not be able to access your account.",0
You can choose any email (even fictitious ones).,0
"Just make sure to remember the email, because it is used to log in.",0
Don t impersonate anyone else or choose names that are offensive or that violate anyone s rights.,0
"If you don t follow these rules, we reserve the right to close your account without warning.",1
"When these terms discuss users or a user , we ll be referring to both registered and unregistered users, unless it relates to features, information or data an unregistered user does not or cannot have access to",0
"User rights both registered and unregistered users have rights to protect their property, privacy, and identity unless they have consented or agree to making their identity public.",0
Most information on this topic can be found in our privacy policy.,0
"Listudy believes that users should have their public information, identity, and data protected as strongly as possible.",0
We use european union data protection law as our baseline,1
", and in many respects go further than what the law requires.",0
"We ve also chosen to extend these rights to all users, not just those under a european union jurisdiction.",0
"By agreeing to these terms, registered users can have access to all of listudy features and are free to use them for their own personal, educational, charitable, or developmental purposes.",0
Listudy itself is also free/libre open-source software licensed under the gnu agpl.,1
This doesn t prevent listudy from having the ultimate decision in what kind of use of the services is appropriate.,0
Users are responsible for the content they post.,0
"Some examples of content would include information, data, text, and pgn files.",0
We won t be responsible for the content you post.,1
"In all circumstances, we may retain certain information as required by law or necessary for our legitimate operating purposes.",1
All of the provisions within this agreement survive the termination of an account,0
Closing and terminating your account,0
You can close your account at any time.,0
You can terminate your account at any time by contacting the listudy administrators.,0
This will permanently erase your account and all content and data.,0
Although we may retain certain information as required by law or as necessary for our legitimate operating purposes.,0
Our rights,0
"To operate, we need to be able to maintain control over what happens on our website.",0
"To summarise, we reserve the right to make decisions to protect the health and integrity of our systems.",0
We ll only use these powers when we absolutely must.,0
"We can make changes to the listudy site and services without letting you know in advance, or being liable for any loss, damage, or harm that arises as a result.",1
We have the ultimate say in who can use our site and services.,0
"We can cancel accounts, or decline to let users use our services.",1
"We are not responsible for any loss, damage, or harm that may arise from any occasional downtime.",0
"We reserve the right to contact the relevant authorities if a user is breaking the law, and share relevant data with the authorities, if harm or damage occurs either against our users or against the operation of our infrastructure.",0
"This list is non-exhaustive, and we reserve the right to add, edit, or remove entries from it at any time",0
Privacy our privacy policy describes how we handle the information you provide to us when you use our services.,0
"You understand that through your use of the services you consent to the collection and use, as set out in the privacy policy, of this information.",0
"Listudy currently follows european data protection, and applies these rights to users of all nationalities, not just european users",0
Copyright listudy is licensed under the gnu agpl license.,0
Listudy respects the intellectual property rights of others and expects users of the services to do the same.,0
Listudy reserves the right to remove content alleged to be infringing without prior notice at our sole discretion and without liability to you.,0
"We will respond to notices of alleged copyright infringement, that comply with applicable law and are properly provided to us, as described in our copyright policy.",0
If you believe your content has been copied in a way that constitutes copyright infringement please alert us by contacting us at copyright@listudy.org.,0
"You retain your rights to any content you submit, post or create through the services including chess games.",1
"By submitting, posting or displaying content on or through our services, you grant us a global, non-exclusive, royalty-free license, with the right to sublicense, to use, copy, reproduce, process, adapt, modify, publish, transmit, display and distribute such content in any and all media or distribution channels.",0
Such additional uses may be made without compensation paid to you with respect to the content you make available through the services.,0
"This does not remove your rights from other 3rd party sites, such as twitch or youtube",0
Stuff we re not responsible for services made available are on an as is and as available basis.,0
"We re not responsible for whether this stuff actually works, though if it does that s an added bonus to all of us.",0
"Listudy makes no warranty or representation and disclaims all responsibility and liability for the completeness, availability, timeliness, accuracy and security of the content and services.",0
"We disclaim all responsibility for any harm or loss of any data to your computer system, the deletion of or failure to store or transmit communications or content maintained by the services or",0
Whether the services will meet your requirements,1
"Or be available on an uninterrupted, secure or error-free basis.",1
"Listudy cannot be held responsible for any loss, financial or otherwise, from third party sources, including misrepresentations, negligence or fraud.",0
"No advice, information or written correspondence whether oral or written procured from listudy entities or through listudy services will create any warranty or representation not expressly made herein.",0
