text,highlighted
Email address password your store name create your store opens in a new window shopify uses cookies to provide necessary site functionality and improve your experience.,0
"By using our website, you agree to our privacy policy and our cookie policy .",0
Ok skip to content shopify,0
Start,0
Start your business,0
Branding look professional and help customers connect with your business,0
Business name generator,0
"Online presence find a domain, explore stock images, and amplify your brand",0
Web address,0
Stock photography,0
Store set up use shopify s powerful features to start selling,0
Products to sell,0
Store themes,0
Sell,0
Sell everywhere,0
Online store sell online with an ecommerce website,0
Overview,0
Features,0
Examples,0
Themes,0
"Point of sale sell at retail locations, pop-ups, and beyond",0
Overview,0
Hardware,0
Features,0
Buy button transform an existing website or blog into an online store,0
Overview,0
"Checkout provide fast, smooth checkout experiences",0
Overview,0
Sales channels reach millions of shoppers and boost sales,0
Overview,0
Facebook and instagram,0
Walmart marketplace,0
Ebay,0
Amazon,0
Custom storefront tools stand out with custom commerce,0
Overview,0
Market,0
Market your business,0
Email marketing,0
Shopify ping,0
Google,0
Facebook ads,0
Manage,0
Manage everything,0
Payments,0
Shipping,0
Capital,0
Log in,0
Pricing,0
Learn,0
Help center,0
Blog,0
Business courses,0
Guides,0
Forums,0
Free tools,0
Podcasts,0
Business encyclopedia,0
Log in,0
Open main navigation home close main navigation,0
Start,0
Start your business,0
Branding look professional and help customers connect with your business,0
Business name generator,0
"Online presence find a domain, explore stock images, and amplify your brand",0
Web address,0
Stock photography,0
Store set up use shopify s powerful features to start selling,0
Products to sell,0
Store themes,0
Sell,0
Sell everywhere,0
Online store sell online with an ecommerce website,0
Overview,0
Features,0
Examples,0
Themes,0
"Point of sale sell at retail locations, pop-ups, and beyond",0
Overview,0
Hardware,0
Features,0
Buy button transform an existing website or blog into an online store,0
Overview,0
"Checkout provide fast, smooth checkout experiences",0
Overview,0
Sales channels reach millions of shoppers and boost sales,0
Overview,0
Facebook and instagram,0
Walmart marketplace,0
Ebay,0
Amazon,0
Custom storefront tools stand out with custom commerce,0
Overview,0
Market,0
Market your business,0
Email marketing,0
Shopify ping,0
Google,0
Facebook ads,0
Manage,0
Manage everything,0
Payments,0
Shipping,0
Capital,0
Pricing,0
Learn,0
Help center,0
Blog,0
Business courses,0
Guides,0
Forums,0
Free tools,0
Podcasts,0
Business encyclopedia,0
Log in,0
About,0
Careers,0
Press and media,0
Shopify plus,0
Sitemap,0
Opens in a new windowopens an external siteopens an external site in a new window shopify payments terms of service the terms and conditions described herein constitute a legal agreement,0
( agreement or shopify payments terms ) between you (if your business,0
Is a sole proprietorship) or your business (if you are signing up on,0
"Behalf of a corporation or other legal entity) (the merchant , you or",0
"Your ) and shopify payments (usa) inc., organized under the laws of",0
"Delaware with offices at 251 little falls drive, wilmington, delaware",0
"19808 ( shopify , we , us , or our )",0
A.,0
The shopify payments service,0
Our role,0
The shopify payments service ( shopify,0
Payments or the payments services ) is a: (i) payment account,0
Boarding.,0
(ii) payment underwriting.,0
"And, (iii) payment data",0
Transmission service that helps you integrate with a payment,0
"Processor (the processor ), as described more fully in this",0
Agreement.,1
The payments services may also apply to your use of,0
"Point-of-sale equipment ( pos equipment ), subject to",0
Availability and to your election to procure the same.,0
You,1
Hereby appoint us as your agent to deliver information and,0
Instructions on your behalf to the processor.,0
Under the separate shopify platform terms of,0
Service (the shopify,0
"Platform terms ), shopify inc.",0
Provides you with its online,0
"Storefront, shopping cart, store management, marketing, and",0
"Other services (collectively, the shopify platform services ).",0
The shopify platform terms are incorporated herein by reference,0
And by accepting this agreement you are also accepting them.,0
Neither shopify inc.,0
Nor shopify payments (usa) inc.,0
Is a,0
"Bank, payment institution, or money services business, but are",0
"Instead, respectively, a supplier of the shopify platform",0
Services supplied under the shopify platform terms and of the,0
Payments services under this agreement.,0
The processor,0
"The processor is stripe, inc., organized under the laws of",0
"California, which is a technical",0
Services provider and may offer the services as an agent of one,0
"Or more financial institutions in united states (each, a financial",0
Services provider ).,0
The processing and settlement of,0
Transactions (as defined below) ( payment processing ) is,0
Carried out by the processor and any of the financial services,0
Providers under a separate stripe connected account,0
"Agreement,",0
Including the united states stripe services,0
Agreement and the applicable,0
"Financial services terms, and",0
To the extent you use a payment method that is subject to,0
"Additional terms, the payment",0
"Terms (collectively,",0
The processor terms ).,0
"By accepting this agreement, you are",0
"Also accepting and agreeing to be bound by the processor terms,",0
Which is the legal agreement between you and the processor.,0
Shopify is not a party to the processor terms and is not liable,0
To you in respect thereof.,0
By accepting this agreement and the,0
Processor terms you are agreeing to the creation of an account,0
With the processor for payment processing (the processor,0
Account ).,0
"We reserve the right to change the processor, subject",0
To the terms of our agreement with the processor.,0
In the event,0
Of any inconsistency between this agreement and the processor,0
"Terms, this agreement shall prevail, except in the event of any",0
Inconsistency between this agreement and the processor terms,0
"Concerning payment processing or the processor account, in which",0
Case the processor terms shall prevail.,0
"The processor s role is to accept and process credit card, debit",0
Card and other types of payments (collectively cards ) with,0
Respect to sales of your products and services through,0
"Internet-based transactions ( card not present transactions"" or",0
Cnp transactions ).,0
"If applicable, pos equipment permits",0
"Transmission of data to the processor from in-person,",0
"Point-of-sale transactions ( card present transactions"" or cp",0
"Transactions ), as well as manually entered transactions ( keyed",0
Transactions ).,0
"Cnp transactions, cp transactions and keyed",0
"Transactions shall be referred to herein, collectively, as",0
Transactions .,0
Your role,0
"To utilize the services, you must be a business located in",0
United states.,1
The payments services,0
Shopify hereby grants you a,0
"Non-exclusive, non-transferable, non-sublicensable, limited,",0
Revocable right to use the payments services (the license ).,0
The license shall be for the term of this agreement only.,0
Neither the license nor any other provision hereof shall grant,0
Any rights in the payments services or other intellectual,0
Property rights except the limited license of use set out above.,0
You shall not: (i) permit any third party to access the payments,0
"Services, including, but not limited to, your shopify admin on",0
"Our website (the shopify admin ), except as permitted herein,",0
And to carry out transactions.,0
(ii) create derivate works based,0
On the payments services.,0
"(iii) copy, frame or mirror any part",0
"Of the content of the payments services, other than copying or",0
Framing for your internal business purposes.,0
(iv) reverse,0
"Engineer, disassemble, decompile, or otherwise attempt to",0
