text,highlighted
Blog,0
Learning hub,0
Advertisers,0
Publishers,0
Advertise with us,0
"Terms of service effective date: december 8, 2022",0
"Thank you for using ethicalads (""read the docs, inc."", ""ethicalads"", ""we"")!",0
We're happy you're here.,0
Please read this terms of service agreement carefully before accessing or using ethicalads.,0
"Because it is such an important contract between us and our users,",0
We have tried to make it as clear as possible.,0
"For your convenience, we have presented these terms in a short non-binding summary",0
Followed by the full legal terms.,0
"If you are not a publisher or advertiser on our network,",0
These terms generally do not apply to you.,0
If you're just concerned about how we handle data from users,0
"Who view ads on our network, see our privacy policy.",0
Contents,0
Definitions,0
Our services,0
Account terms,0
Account controls,0
Required information,0
Account requirements,0
User account security,0
Additional terms,0
Acceptable use,0
Api terms,0
No abuse or overuse of the api,0
Advertising on the ethicalads network,0
Our privacy-focused advertising,0
As a publisher,0
As an advertiser,0
Payment,0
Pricing,0
Billing schedule.,0
No refunds,0
Authorization,0
Responsibility for payment,0
Publisher payouts,0
Cancellation and termination,0
Publisher account cancellation,0
Advertiser account cancellation,0
Account deletion,0
Upon deletion,0
Ethicalads may terminate,0
Survival,0
Communications with ethicalads,0
Electronic communication required,0
Legal notice to ethicalads must be in writing,0
No phone support,0
Disclaimer of warranties,0
Limitation of liability,0
Release and indemnification,0
Changes to these terms,0
Miscellaneous,0
Governing law,0
Non-assignability,0
Section headings and summaries,0
"Severability, no waiver, and survival",0
Amendments.,0
Complete agreement,0
Questions,0
Definitions,0
Short version:,0
"We use these basic terms throughout the agreement,",0
And they have specific meanings.,0
You should know what we mean when we,0
Use each of the terms.,0
"There's not going to be a test on it, but it's",0
Still useful information.,0
"The ""agreement"" refers, collectively, to all the terms, conditions, notices contained or referenced in this document (the ""terms of service"" or the ""terms"") and all other operating rules, policies (including our privacy policy) and procedures that we may publish from time to time on our site and network.",0
"Our ""service"" or ""services"" refers to the applications, software, products, and services provided by ethicalads.",0
"The ""network"" refers to ethicalads' network located at ethicalads.io and server.ethicalads.io, and all content, services, and products provided by ethicalads at or through our sites and network.",0
"""the user,"" ""you,"" and ""your"" refer to the individual person, company, or organization that has a publisher or advertiser account using our network or services.",0
That accesses or uses any part of the account.,0
Or that directs the use of the account in the performance of its functions.,0
A user must be at least 13 years of age.,0
"""ethicalads,"" ""we,"" and ""us"" refer to read the docs, inc., as well as our affiliates, directors, subsidiaries, contractors, licensors, officers, agents, and employees.",0
"An ""account"" represents your legal relationship with ethicalads.",0
"A ""user account"" represents an individual user's authorization to log in to and use the service and serves as a user's identity on ethicalads.",0
"Generally, users who merely see or click on ads do not have an account.",0
"A ""publisher"" is a person, company, or organization who hosts ads from our network on their own website.",0
"An ""advertiser"" is a person, company, or organization who advertises on our network.",0
Both advertisers and publishers have accounts.,0
"""user personal information"" is any information about one of our users which could, alone or together with other information, personally identify him or her.",0
"Information such as a user name and password, an email address, a real name, and a photograph are examples of user personal information.",0
"Our privacy policy goes into more details on user personal information, what data ethicalads collects from advertisers, publishers, or visitors who merely see or click on an ad, and why we collect it.",0
Our services,0
Ethicalads is made up of the following sites:,0
Ethicalads.io,0
This website contains landing pages explaining our service and network.,0
"Server.ethicalads.io (""ad server"")",0
The website that serves ads on behalf of our advertisers and are displayed on publishers' websites.,0
Account terms,0
User accounts have different administrative controls.,0
A human must create your account (usually after receiving an invite).,0
You must be 13 or over.,0
And you must provide a valid email address.,0
You alone are responsible for your account and anything that happens while you are signed in to or using your account.,0
You are responsible for keeping your account secure.,0
Account controls,0
"Users subject to these terms, you retain ultimate administrative control over your user account and the content within it.",0
Users can share access to their publisher or advertiser accounts with other users.,0
Required information,0
You must provide a valid email address in order to receive an invite and complete the signup process.,0
"Any other information requested, such as your real name, is",0
"Optional, unless you are accepting these terms on behalf of a legal",0
Entity (in which case we need more information about the legal entity).,0
"In order to pay for advertising or receive payouts as a publisher,",0
We may require additional information necessary for billing purposes.,0
Account requirements,0
We have a few simple rules for user accounts on ethicalads',0
Services.,0
You must be a human to create an account.,0
"Accounts registered by ""bots"" or other automated methods are not permitted.",0
We do permit machine accounts:,0
"A machine account is an account set up by an individual human who accepts the terms on behalf of the account, provides a valid email address, and is responsible for its actions.",0
A machine account is used exclusively for performing automated tasks.,0
"Multiple users may direct the actions of a machine account, but the owner of the account is ultimately responsible for the machine's actions.",0
You must be age 13 or older.,0
We must comply with united states law.,0
"Ethicalads does not target our services to children under 13, and we do not permit any users under 13 on our service.",0
"If we learn of any user under the age of 13, we will have to close your account.",0
"If you are a resident of a country outside the united states, your country's minimum age may be older.",0
"In such a case, you are responsible for complying with your country's laws.",0
You may not use ethicalads in violation of export control or sanctions laws of the united states or any other applicable jurisdiction.,0
