text,highlighted
Introduction:,0
"These terms apply to the clients and subscribers of torguard.net vpn, proxy and email services.",0
These terms effectively detail how torguard.net operates their services and details the ways in which we permit use of our services.,0
"Torguard.net provides clients vpn (virtual private networking) secure internet services, wifi privacy, web encryption, anonymous internet ip's, socks5 proxy service and secure email services.",0
"You (""the client""), acknowledge that torguard.net and or its parent companies or subsidiaries will not be held liable at any time for liability resulting from the use of our services or website.",0
"The client confirms that they are above the age of (18) years, are an emancipated minor, or possess a valid legal parental or guardian's consent, and are fully able to enter into the terms and conditions set forth here.",0
"If you are under the age requirement and are between the ages of thirteen (13) and seventeen (17), then you must first find a legal guardian to purchase and activate torguard services for you.",0
"If you are unable to find a legal guardian to meet this requirement, or if you are under the age of thirteen (13), then you are not permitted to use torguard's services.",1
Acceptance,0
"By visiting torguard.net's website or using the provided service (including but not limited to all services and pages available on torguard.net) the client fully agrees and understands the terms and conditions provided herein, torguard.net's privacy policy, dmca (digital millennium copyright act) and all future modifications or amendments to this agreement.",0
"By entering our website and/or purchasing services, the client agrees to be bound by these terms and conditions.",0
"If for any reason the client does not agree to be bound by these terms and conditions, privacy policy and dmca policy, then access to torguard.net and it's services is strictly prohibited.",0
License,0
Torguard.net provides,0
"The client with a limited, personal license intended for use only as set forth in this agreement for personal, non commercial, private and limited non transferable uses.",1
"Any and all intellectual property rights on torguard.net are owned by vp networks llc and are protected by us international copyright, patent and relevant trademark laws protecting intellectual property and proprietary rights.",0
"You may not reproduce, copy, or download any content from torguard.net without the express written authorization to first do so.",0
Commercial use without prior consent is prohibited.,0
"The client agrees not to alter, delete, obscure, or change any proprietary rights affiliated with torguard.net content.",0
Client rights are subject to these terms of services and new or future services may require an additional subscription or agreement.,0
"The client fully understands and agrees that these terms are limited to vpn, proxy and email services.",0
Changes to this agreement,0
"The client fully understands that the current terms of services put forth are subject to changes made by torguard.net at anytime and you agree to be bound by any and all changes, modifications or revisions.",1
The client fully understands that it is their sole obligation to review this terms of services periodically to account for changes that have been made as any and all future changes or additions will be considered binding.,1
"These terms and conditions extend and apply to all users of torguard.net including both potential and current 'visitors', 'subscribers' or 'clients'.",0
"You (the client) agree to abide by all applicable federal, state and local laws and understand you will be legally bound by the terms and conditions of this agreement.",0
Conduct,0
"You agree to abide by all applicable federal, state and local laws and regulations in connection with the use of torguard.net's services.",0
You also agree that you or any other user(s) provided with access to your account will not engage in the following:,1
"Transmitting, sending or receiving unsolicited and/or commercial emails, promotional material, ""junk messages,"" ""spam,"" ""chain letters,"" or ""pyramid schemes""",1
"Exploiting, transmitting, possessing, producing, receiving, transporting, or distributing any illegal content, including but not limited to any sexually explicit depiction of children",0
"Uploading, transmitting, possessing, receiving, transporting, or distributing any copyrighted, trademark, or patented content which you do not own or lack written consent or a license from the copyright owner",0
Forging headers or otherwise manipulating e-mail identifiers in order to mask or mislead the origins of certain content,0
"Interfering with the service to any other user, client, host or network which reduces the quality of service for other clients and users",0
"Using the service to engage in denial-of-service (""dos"") attacks to any third-parties or to torguard.net",0
"Accessing data, systems or networks including attempts to probe scan or test for vulnerabilities of a system or network or to breach security or authentication measures without the express written consent from the owner of the system or network",0
"Using this service to transmit any material (by email, uploading, posting, or otherwise) that threatens or encourages bodily harm, injury or destruction of property, defames one or more third parties, or promotes any act of cruelty to animals.",0
Or,1
"Accessing the service to violate any laws at the local, state and federal level in the united states of america or the country/territory in which you reside.",0
Encrypted email,0
Each client is solely responsible for his or her transmissions through torguard.net encrypted email services.,0
"As a condition of your use of the email service, you affirm to torguard.net, that you will not use the service for any unlawful purpose or one that is prohibited by these terms, conditions, and notices stated in this terms and conditions.",0
The service is provided to individuals only and for personal use.,0
"Any unauthorized commercial use of the torguard email service, or the resale of its services, is expressly prohibited.",0
"By registering an address with torguard.net or torguard.tg, you agree to be bound by the terms outlined in this terms of service agreement.",0
"Torguard.net and torguard.tg may, at its sole discretion, immediately terminate service without cause or notice, should user's conduct fail to conform to these conditions.",1
Export control policy,0
Notice about personal liability for prohibited exports of this software,0
"This software contains sophisticated and powerful encryption methods that make it a federal crime for one to do certain things with it, even unknowingly.",0
Ignorance of these laws does not reduce your personal liability.,0
Please read the following guidelines carefully before accepting this software.,0
"You may not 'export' this software to certain countries listed on the commerce control list, which currently includes cuba, iran, iraq, libya, north korea, sudan, and syria.",0
This list may change from time to time so please visit http://www.access.gpo.gov/bis/ear/pdf/740.pdf to get updates.,0
This prohibition on 'exports' means you may not send the software itself to such countries but it also means you may not carry your own personal computer containing this software into or through such countries.,0
"Anywhere in the world, even inside the united states, you may not transfer this software (or a computer containing this software) to certain persons or organizations or companies listed on the denied parties list.",0
See http://www.access.gpo.gov/bis/ear/pdf/740.pdf for the current list.,0
"Such a transfer is a ""deemed export"" subject to federal export administration regulations.",0
Do not deliver or transfer this software or a personal computer containing this software to a national or resident of a foreign country anywhere in the world without first checking the denied parties list.,0
"If the intended recipient is listed or belongs to a listed organization or company, you must contact the u.s.",0
"Department of commerce, information technology controls division at (202) 482-0707 to apply for permission to make the transfer via an export license.",0
A transfer without the required license is a felony.,0
"By downloading and/or using this software and encryption services, you accept full and personal responsibility for the custody of this software and agree to comply with all applicable export control laws and obtain all necessary licenses should you wish to 'export' any copies of the software.",0
Breach,0
Torguard.net maintains a zero tolerance policy regarding any and all activity which violates or breaches any section of our terms and conditions,0
"In addition to a zero tolerance abuse policy, clients who knowingly or even unknowingly breach the terms of this agreement will have their account removed without refund.",0
The client fully understands that torguard.net reserves the right to hold the client or a third party using the service on their behalf responsible for any financial damages or losses which may arise from the violation of these terms and conditions.,0
"This is includes but is not limited to attorney fees, court expenses and other costs.",0
The client fully understands that torguard.net reserves the right in its discretion to enforce any breaches of this agreement.,0
Failure to understand and comply with the present terms of services,0
Subscriber understands that torguard.net reserves the right in its sole discretion to enforce breaches of this agreement.,0
"Failure to comply with the present terms of service will results in a material breach of this agreement, and may result in one or more of these possible following actions:",0
Issuance of a warning,0
"Immediate, temporary, or permanent termination of access to torguard.net with no refund",0
Legal actions against you for reimbursement of any costs incurred via indemnity resulting from a breach,0
Independent legal action by torguard.net as a result of a breach.,0
Or,1
Disclosure of such information to law enforcement authorities as deemed reasonably necessary.,0
Torguard.net reserves the right to take any other actions necessary to enforce and protect its rights.,0
"If you find that your torguard.net account has been suspended, then you may contact: [email protected]",0
Service level agreement,0
"Torguard.net service speeds, coverage, locations and quality are not guaranteed.",0
"While torguard.net makes every effort to maintain 100% service uptime, the vpn, proxy and email services may be subject to unavailability for reasons including maintenance, emergencies, third party failures, transmission failure, equipment errors, network issues, unforeseen interference, natural disasters and other reasons.",0
"Torguard.net does not guarantee that data, messages, packages or email will be delivered and will not be held responsible in the event that data is lost, delayed misdirected or otherwise inaccessible.",0
"Also, torguard.net staff may employ usage limits to our services, suspend/block or cancel any service at our sole discretion at any time.",0
"Lastly, we do not offer a guarantee for the accuracy of any data received.",0
Client responsibilities,0
"As a client of torguard.net, you are responsible for:",0
Preserving the confidentiality and security of the account you are provided.,0
Confirming that subscriber connections to the torguard.net vpn network are limited to no more than five (8) simultaneous connections.,0
Proxy clients are limited to one (1) simultaneous connection.,0
Providing valid and accurate identifying information related to the user account.,0
"Liability for any use and/or abuse which occurs while you or any third-party is logged into the torguard.net vpn, proxy or email services with your account credentials.",0
Fees,0
You understand and recognize that torguard.net reserves the right to create a subscription based service through one or more of our participating third party merchants.,0
"Payments are charged on the day you sign up for service and will cover use of that service for the duration of one (1) day, (1) month, six (6) months, one (1) year, depending on the service plan level.",0
A subscription plan is an automatic recurring payment based on the selected service plan.,0
All accounts are offered as is at the time of purchase.,0
You may cancel the account subscription at anytime.,0
The account will remain active for the remainder of your billing cycle.,0
