text,highlighted
Terms of service,0
What s in these terms?,0
This index is designed to help you understand some of the key updates we ve made to our terms of service (terms).,0
"We hope this serves as a useful guide, but please ensure you read the terms in full.",0
Welcome to youtube!,0
This section outlines our relationship with you.,0
"It includes a description of the service, defines our agreement, and names your service provider.",0
Who may use the service?,0
"This section sets out certain requirements for use of the service, and defines categories of users.",0
Your use of the service,0
"This section explains your rights to use the service, and the conditions that apply to your use of the service.",0
It also explains how we may make changes to the service.,0
Your content and conduct,0
This section applies to users who provide content to the service.,0
"It defines the scope of the permissions that you grant by uploading your content, and includes your agreement not to upload anything that infringes on anyone else s rights",0
Account suspension and termination,0
This section explains how you and youtube may terminate this relationship.,0
About software in the service,0
This section includes details about software on the service.,0
Other legal terms,0
This section includes our service commitment to you,0
It also explains that there are some things we will not be responsible for.,0
About this agreement,0
"This section includes some further important details about our contract, including what to expect if we need to make changes to these terms.",0
Or which law applies to them.,0
Terms of service,0
"Dated: march 17, 2021",0
Welcome to youtube!,0
Introduction,0
"Thank you for using the youtube platform and the products, services and features we make available to you as part of the platform (collectively, the service ).",0
Our service,0
"The service allows you to discover, watch and share videos and other content, provides a forum for people to connect, inform, and inspire others across the globe, and acts as a distribution platform for original content creators and advertisers large and small.",0
We provide lots of information about our products and how to use them in our help center.,0
"Among other things, you can find out about youtube kids, the youtube partner program and youtube paid memberships and purchases (where available).you can also read all about enjoying content on other devices like your television, your games console, or google home.",0
Your service provider,0
"The entity providing the service is google llc, a company operating under the laws of delaware, located at 1600 amphitheatre parkway, mountain view, ca 94043 (referred to as youtube , we , us , or our ).",0
References to youtube s affiliates in these terms means the other companies within the alphabet inc.,1
Corporate group (now or in the future).,1
Applicable terms,0
"Your use of the service is subject to these terms, the youtube community guidelines and the policy, safety and copyright policies which may be updated from time to time (together, this ""agreement"").",0
Your agreement with us will also include the advertising on youtube policies if you provide advertising or sponsorships to the service or incorporate paid promotions in your content.,0
Any other links or references provided in these terms are for informational use only and are not part of the agreement.,0
Please read this agreement carefully and make sure you understand it.,0
"If you do not understand the agreement, or do not accept any part of it, then you may not use the service.",0
Who may use the service?,0
Age requirements,1
You must be at least 13 years old to use the service.,1
"However, children of all ages may use the service and youtube kids (where available) if enabled by a parent or legal guardian.",0
Permission by parent or guardian,0
"If you are under 18, you represent that you have your parent or guardian s permission to use the service.",0
Please have them read this agreement with you.,0
"If you are a parent or legal guardian of a user under the age of 18, by allowing your child to use the service, you are subject to the terms of this agreement and responsible for your child s activity on the service.",0
You can find tools and resources to help you manage your family s experience on youtube (including how to enable a child under the age of 13 to use the service and youtube kids) in our help center and through google s family link.,0
Businesses,0
"If you are using the service on behalf of a company or organisation, you represent that you have authority to act on behalf of that entity, and that such entity accepts this agreement.",0
Your use of the service,0
Content on the service,0
"The content on the service includes videos, audio (for example music and other sounds), graphics, photos, text (such as comments and scripts), branding (including trade names, trademarks, service marks, or logos), interactive features, software, metrics, and other materials whether provided by you, youtube or a third-party (collectively, ""content ).",0
Content is the responsibility of the person or entity that provides it to the service.,0
Youtube is under no obligation to host or serve content.,0
"If you see any content you believe does not comply with this agreement, including by violating the community guidelines or the law, you can report it to us.",0
Google accounts and youtube channels,0
"You can use parts of the service, such as browsing and searching for content, without having a google account.",0
"However, you do need a google account to use some features.",0
"With a google account, you may be able to like videos, subscribe to channels, create your own youtube channel, and more.",0
You can follow these instructions to create a google account.,0
"Creating a youtube channel will give you access to additional features and functions, such as uploading videos, making comments or creating playlists (where available).",0
Here are some details about how to create your own youtube channel.,0
"To protect your google account, keep your password confidential.",0
You should not reuse your google account password on third-party applications.,0
"Learn more about keeping your google account secure, including what to do if you learn of any unauthorized use of your password or google account.",0
Your information,0
Our privacy policy explains how we treat your personal data and protect your privacy when you use the service.,0
The youtube kids privacy notice provides additional information about our privacy practices that are specific to youtube kids.,0
"We will process any audio or audiovisual content uploaded by you to the service in accordance with the youtube data processing terms, except in cases where you uploaded such content for personal purposes or household activities",0
Learn more.,0
Permissions and restrictions,0
"You may access and use the service as made available to you, as long as you comply with this agreement and applicable law.",0
"You may view or listen to content for your personal, non-commercial use.",0
You may also show youtube videos through the embeddable youtube player.,0
The following restrictions apply to your use of the service.,0
You are not allowed to:,0
"Access, reproduce, download, distribute, transmit, broadcast, display, sell, license, alter, modify or otherwise use any part of the service or any content except: (a) as expressly authorized by the service.",0
"Or (b) with prior written permission from youtube and, if applicable, the respective rights holders",0
"Circumvent, disable, fraudulently engage with, or otherwise interfere with any part of the service (or attempt to do any of these things), including security-related features or features that (a) prevent or restrict the copying or other use of content or (b) limit the use of the service or content",0
"Access the service using any automated means (such as robots, botnets or scrapers) except (a) in the case of public search engines, in accordance with youtube s robots.txt file.",0
Or (b) with youtube s prior written permission,0
"Collect or harvest any information that might identify a person (for example, usernames or faces), unless permitted by that person or allowed under section (3) above",0
Use the service to distribute unsolicited promotional or commercial content or other unwanted or mass solicitations,0
"Cause or encourage any inaccurate measurements of genuine user engagement with the service, including by paying people or providing them with incentives to increase a video s views, likes, or dislikes, or to increase a channel s subscribers, or otherwise manipulate metrics in any manner",0
"Misuse any reporting, flagging, complaint, dispute, or appeals process, including by making groundless, vexatious, or frivolous submissions",0
Run contests on or through the service that do not comply with youtube s contest policies and guidelines,0
"Use the service to view or listen to content other than for personal, non-commercial use (for example, you may not publicly screen videos or stream music from the service).",0
Or,0
"Use the service to (a) sell any advertising, sponsorships, or promotions placed on, around, or within the service or content, other than those allowed in the advertising on youtube policies (such as compliant product placements).",0
"Or (b) sell advertising, sponsorships, or promotions on any page of any website or application that only contains content from the service or where content from the service is the primary basis for such sales (for example, selling ads on a webpage where youtube videos are the main draw for users visiting the webpage).",0
Reservation,0
"Using the service does not give you ownership of or rights to any aspect of the service, including user names or any other content posted by others or youtube.",0
Changes to the service,0
Youtube is constantly changing and improving the service.,0
"We may also need to alter or discontinue the service, or any part of it, in order to make performance or security improvements, change functionality and features, make changes to comply with law, or prevent illegal activities on or abuse of our systems.",0
"These changes may affect all users, some users or even an individual user.",0
"Whenever reasonably possible, we will provide notice when we discontinue or make material changes to our service that will have an adverse impact on the use of our service.",0
"However, you understand and agree that there will be times when we make such changes without notice, such as where we feel we need to take action to improve the security and operability of our service, prevent abuse, or comply with legal requirements",0
Your content and conduct,0
Uploading content,0
"If you have a youtube channel, you may be able to upload content to the service.",0
You may use your content to promote your business or artistic enterprise.,0
"If you choose to upload content, you must not submit to the service any content that does not comply with this agreement (including the youtube community guidelines) or the law.",0
"For example, the content you submit must not include third-party intellectual property (such as copyrighted material) unless you have permission from that party or are otherwise legally entitled to do so.",0
You are legally responsible for the content you submit to the service.,0
"We may use automated systems that analyze your content to help detect infringement and abuse, such as spam, malware, and illegal content.",0
Rights you grant,0
You retain ownership rights in your content.,0
"However, we do require you to grant certain rights to youtube and other users of the service, as described below.",0
License to youtube,0
"By providing content to the service, you grant to youtube a worldwide, non-exclusive, royalty-free, sublicensable and transferable license to use that content (including to reproduce, distribute, prepare derivative works, display and perform it) in connection with the service and youtube s (and its successors' and affiliates') business, including for the purpose of promoting and redistributing part or all of the service.",0
License to other users,0
"You also grant each other user of the service a worldwide, non-exclusive, royalty-free license to access your content through the service, and to use that content, including to reproduce, distribute, prepare derivative works, display, and perform it, only as enabled by a feature of the service (such as video playback or embeds).",0
"For clarity, this license does not grant any rights or permissions for a user to make use of your content independent of the service.",0
Duration of license,0
The licenses granted by you continue for a commercially reasonable period of time after you remove or delete your content from the service.,0
"You understand and agree, however, that youtube may retain, but not display, distribute, or perform, server copies of your videos that have been removed or deleted",0
Right to monetize,0
You grant to youtube the right to monetize your content on the service (and such monetization may include displaying ads on or within content or charging users a fee for access).,0
This agreement does not entitle you to any payments.,0
"Starting november 18, 2020, any payments you may be entitled to receive from youtube under any other agreement between you and youtube (including for example payments under the youtube partner program, channel memberships or super chat) will be treated as royalties.",0
"If required by law, google will withhold taxes from such payments.",0
Remov,0
Ing your content,0
You may remove your content from the service at any time.,1
You also have the option to make a copy of your content before removing it.,1
You must remove your content if you no longer have the rights required by these terms.,1
Removal of content by youtube,0
"If we reasonably believe that any content is in breach of this agreement or may cause harm to youtube, our users, or third parties, we may remove or take down that content in our discretion",0
We will notify you with the reason for our action unless we reasonably believe that to do so: (a) would breach the law or the direction of a legal enforcement authority or would otherwise risk legal liability for youtube or our affiliates.,0
(b) would compromise an investigation or the integrity or operation of the service.,0
"Or (c) would cause harm to any user, other third party, youtube or our affiliates.",0
"You can learn more about reporting and enforcement, including how to appeal on the troubleshooting page of our help center.",0
Copyright protection,0
We provide information to help copyright holders manage their intellectual property online in our youtube copyright center.,0
"If you believe your copyright has been infringed on the service, please send us a notice.",0
"We respond to notices of alleged copyright infringement according to the process in our youtube copyright center, where you can also find information about how to resolve a copyright strike.",0
"Youtube's policies provide for the termination, in appropriate circumstances, of repeat infringers access to the service.",0
Account suspension &amp.,0
Termination,0
Terminations by you,0
You may stop using the service at any time.,0
"Follow these instructions to delete the service from your google account, which involves closing your youtube channel and removing your data.",0
You also have the option to download a copy of your data first.,0
Terminations and suspensions by youtube for cause,1
"Youtube may suspend or terminate your access, your google account, or your google account s access to all or part of the service if (a) you materially or repeatedly breach this agreement (b) we are required to do so to comply with a legal requirement or a court order.",1
"Or (c) we believe there has been conduct that creates (or could create) liability or harm to any user, other third party, youtube or our affiliates.",1
Terminations by youtube for service changes,1
"Youtube may terminate your access, or your google account s access to all or part of the service if youtube believes, in its sole discretion, that provision of the service to you is no longer commercially viable",1
Notice for termination or suspension,0
"We will notify you with the reason for termination or suspension by youtube unless we reasonably believe that to do so: (a) would violate the law or the direction of a legal enforcement authority, or would otherwise risk legal liability for youtube or our affiliates.",0
(b) would compromise an investigation or the integrity or operation of the service.,0
"Or (c) would cause harm to any user, other third party, youtube or our affiliates.",0
"Where youtube is terminating your access for service changes, where reasonably possible, you will be provided with sufficient time to export your content from the service.",0
Effect of account suspension or termination,0
"If your google account is terminated or your google account s access to the service is restricted, you may continue using certain aspects of the service (such as viewing only) without an account, and this agreement will continue to apply to such use.",0
"If you believe your google account has been terminated in error, you can appeal using this form.",0
About software in the service,0
Downloadable software,0
"When the service requires or includes downloadable software (such as the youtube studio application), you give permission for that software to update automatically on your device once a new version or feature is available, subject to your device settings.",0
"Unless that software is governed by additional terms which provide a license, youtube gives you a personal, worldwide, royalty-free, non-assignable and non-exclusive license to use the software provided to you by youtube as part of the service.",0
"This license is for the sole purpose of enabling you to use and enjoy the benefit of the service as provided by youtube, in the manner permitted by this agreement.",0
"You are not allowed to copy, modify, distribute, sell, or lease any part of the software, or to reverse-engineer or attempt to extract the source code of that software, unless laws prohibit these restrictions or you have youtube s written permission.",0
Open source,0
Some software used in our service may be offered under an open source license that we make available to you.,0
"There may be provisions in an open source license that expressly override some of these terms, so please be sure to read those licenses.",0
Other legal terms,0
Warranty disclaimer,0
"Other than as expressly stated in this agreement or as required by law, the service is provided as is and youtube does not make any specific commitments or warranties about the service.",0
"For example, we don t make any warranties about: (a) the content provided through the service.",0
"(b) the specific features of the service, or its accuracy, reliability, availability, or ability to meet your needs.",0
Or (c) that any content you submit will be accessible on the service.,1
Limitation of liability,0
"Except as required by applicable law, youtube, its affiliates, officers, directors, employees and agents will not be responsible for any loss of profits, revenues, business opportunities, goodwill, or anticipated savings.",0
Loss or corruption of data.,0
Indirect or consequential loss.,0
Punitive damages caused by:,0
"Errors, mistakes, or inaccuracies on the service",0
Personal injury or property damage resulting from your use of the service,0
Any unauthorized access to or use of the service,0
Any interruption or cessation of the service,0
Any viruses or malicious code transmitted to or through the service by any third party,0
"Any content whether submitted by a user or youtube, including your use of content.",0
And/or,0
The removal or unavailability of any content.,0
"This provision applies to any claim, regardless of whether the claim asserted is based on warranty, contract, tort, or any other legal theory.",0
"Youtube and its affiliates total liability for any claims arising from or relating to the service is limited to the greater of: (a) the amount of revenue that youtube has paid to you from your use of the service in the 12 months before the date of your notice, in writing to youtube, of the claim.",0
And (b) usd $500.,0
Indemnity,0
"To the extent permitted by applicable law, you agree to defend, indemnify and hold harmless youtube, its affiliates, officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses (including but not limited to attorney's fees) arising from: (i) your use of and access to the service.",1
(ii) your violation of any term of this agreement.,1
"(iii) your violation of any third party right, including without limitation any copyright, property, or privacy right.",1
Or (iv) any claim that your content caused damage to a third party.,1
This defense and indemnification obligation will survive this agreement and your use of the service.,0
Third-party links,0
The service may contain links to third-party websites and online services that are not owned or controlled by youtube.,0
"Youtube has no control over, and assumes no responsibility for, such websites and online services.",0
Be aware when you leave the service.,0
We suggest you read the terms and privacy policy of each third-party website and online service that you visit.,0
About this agreement,0
Modifying this agreement,0
"We may modify this agreement, for example, to reflect changes to our service or for legal, regulatory, or security reasons.",0
"Youtube will provide reasonable advance notice of any material modifications to this agreement and the opportunity to review them, except that modifications addressing newly available features of the service or modifications made for legal reasons may be effective immediately without notice.",0
Modifications to this agreement will only apply going forward.,0
"If you do not agree to the modified terms, you should remove any content you have uploaded and discontinue your use of the service.",0
Continuation of this agreement,0
