text,highlighted
Web hosting virtual servers network nodes faq &amp.,0
About us contact &amp.,0
Support,0
Acceptable usage policy and terms of service,0
"Don t confuse pro privacy, pro anonymity, pro free-speech with us offering a free for all .",1
We have some very basic rules that constitute acceptable use of our services.,0
This helps us maintain a quality service that can be enjoyed by all.,0
"The first section covers our acceptable usage policy (aup), which states what sort of things we do not allow.",0
That is then followed by our terms of service.,0
Are you looking for our privacy policy?,0
That can be found on it's own page here.,0
By using our service you accept and agree to the following policies.,0
Please contact us if you have any questions or conncerns,0
Last updated: 01/23/2020,1
The following is not permitted.,0
Resource abuse:,1
"This is any activity, intentional or otherwise, that consumes an abundance of system resources that negatively impacts of the quality of the service for other customers.",1
We will respond to resource abuse by suspending the account in question and reaching out to you for a solution.,1
We will work with you if this is happening unintentionally and help you resolve the issue.,0
"If we discover an intentional abuse of resources then your service will remain suspended until you re able to retrieve a backup of your data, which we supply you, so that you may move your ill-intentions elsewhere.",0
Unsolicited communication:,1
"Spamming is the use of messaging systems to send an unsolicited message (spam) to large numbers of recipients for the purpose of commercial advertising, for the purpose of non-commercial proselytizing, or for any prohibited purpose (especially the fraudulent purpose of phishing).",1
The use of our services for spamming is strictly prohibited.,0
"Any customer discovered to be sending spam, intentional or otherwise, will have their service suspended without notice until we are able to reach you for a solution.",0
"If discovered that the spamming is intentional, your service will remain suspended until you re able to retrieve a backup of your data, which we supply you, so that you may move your ill-intentions elsewhere.",0
Malicious content:,0
"This will be defined as any script, code, or file that performs a harmful action, either to the user(s) affected or as a bulk action triggered by the user.",0
"This, for the sake of ease, will be any content, code, network activity or script that would violate the laws of the united states.",0
"This includes but is not limited to phishing sites, participating in ddos or other network related attacks, using our services to attempt to gain unlawful access into networks, devices, or systems that you have no authority to gain access to, etc.",0
"Any account found to purposely be participating in the above actions will be suspended without notice, until we are able to reach you to determine if this was unintentional or intentional actions from your account.",0
"If unintentional, we will work with you to resolve the problem.",0
"If found to be intentional, your service will remain suspended until you re able to retrieve a backup of your data, which we will supply you, so that you may move your ill-intentions elsewhere.",0
Content depicting minors sexually:,0
"Hosting, sharing or making available any images, video, or other media that depicts minors sexually (nude or non-nude) is strictly forbidden.",0
Any account found to be in violation of this will be immediately suspended.,0
"If this is discovered to unintentional, we will advise you to remove the content immediately.",0
"If it s found to be intentional, your service will be terminated and your data removed from our servers.",0
"We will not be put in a position where we are held liable for content such as that, and have no obligation to supply you with a backup of your data if in violation of the above rule.",0
Legal adult content is fine.,0
"If faced with a situation where the legality is questionable, we will err on the side of caution and advise that it be removed.",0
Illegal marketplaces:,0
"Although we re pretty libertarian, we can not in good faith knowingly allow our services to be used to host online marketplaces that deal in illegal goods or services.",0
"You may link to them, you may review them, you may talk about them, you can do many things in regards to illegal marketplaces except host one yourself.",0
An illegal marketplace will be defined as any website allowing users and vendors to sign up to advertise and to purchase the sell of goods and services that would be determined to be illegal in practically every country on earth.,0
"(drugs, weapons, fake ids, stolen credit card information, etc) terms of service by using our service(s), you agree to the below terms.",0
"We believe that these terms are more than reasonable and hope that you find them reasonable, too",0
Use of our services,0
Content hosted on our network should abide by both our acceptable usage policy as well as the laws of your home country.,0
You are responsible for the content that is available under your account with us.,0
"If hosting a website that allows users to share or distribute text, images, media or other files, it is your responsibility to moderate the content so that your account does not violate these or other terms.",0
"We have the right to cancel or suspend your service as needed, for any reason and without notice.",1
If we suspend a service due to policy violations we will attempt with our best effort to reach you at your preferred point of contact to resolve the issue.,0
If we are unable to reach you or you fail to respond within a reasonable amount of time (5+ days) we have the right to cancel and terminate your account.,0
You are responsible for backing up your own data.,0
"While we do maintain a level of storage redundancy, we do not offer offsite backups at this time and do not archive your web hosting content off-site or elsewhere.",0
Conditions of use,0
You agree to abide by our acceptable usage policy and understand that accidentally or purposefully violating our aup may result in account suspension or termination without compensation depending on severity.,0
Account registration,0
We do not verify the legitimacy of the details you supply when signing up when paying with crypto.,0
